ticker,LTMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-15,0.0
2008-01-22,-20.0
2008-01-23,15.0
2008-01-25,-13.0435
2008-01-29,0.0
2008-02-01,-50.0
2008-02-25,0.0
2008-04-10,-22.5
2008-05-23,-83.871
2008-07-29,0.0
2008-08-07,0.0
2008-08-18,0.0
2008-08-29,0.0
2008-09-02,60.0
2008-09-18,152.5
2008-09-19,-40.5941
2008-09-22,0.0
2008-09-26,-41.6667
2008-10-02,0.0
2008-10-06,0.0
2008-11-04,-28.5714
2008-11-11,0.0
2008-11-14,0.0
2008-12-08,-40.0
2008-12-09,0.0
2008-12-10,-26.6667
2008-12-26,0.0
2008-12-30,0.0
2009-01-30,-9.0909
2009-02-02,0.0
2009-02-04,-40.0
2009-02-09,66.6667
2009-02-19,50.0
2009-04-08,66.6667
2009-04-09,-76.0
2009-04-15,316.6667
2009-05-26,0.0
2009-05-28,104.0
2009-05-29,-50.9804
2009-06-16,0.0
2009-07-24,0.0
2009-08-11,0.0
2009-08-12,-4.0
2009-08-13,4.1667
2009-08-14,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,-16.0
2009-08-20,0.0
2009-08-25,-14.2857
2009-08-26,27.7778
2009-08-27,8.6957
2009-08-28,0.0
2009-08-31,-8.0
2009-09-01,8.6957
2009-09-02,0.0
2009-09-03,8.0
2009-09-04,5.5556
2009-09-08,-31.2281
2009-09-09,-18.3673
2009-09-10,6.25
2009-09-14,-35.2941
2009-09-15,9.0909
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,-12.5
2009-09-21,-14.2857
2009-09-22,22.2222
2009-09-23,0.0
2009-09-24,-34.5455
2009-09-25,4.1667
2009-09-28,0.0
2009-09-29,-12.0
2009-09-30,0.0
2009-10-01,15.1515
2009-10-02,0.0
2009-10-05,4.6053
2009-10-06,-4.4025
2009-10-07,0.0
2009-10-09,-7.8947
2009-10-12,-21.4286
2009-10-13,1.8182
2009-10-14,0.0
2009-10-15,0.0
2009-10-16,0.0
2009-10-19,-41.0714
2009-10-20,0.0
2009-10-21,51.5152
2009-10-22,-20.0
2009-10-23,0.0
2009-10-26,0.0
2009-10-27,25.0
2009-10-28,0.0
2009-10-29,-20.0
2009-10-30,0.0
2009-11-03,25.0
2009-11-04,0.0
2009-11-05,20.0
2009-11-06,-16.6667
2009-11-09,-20.0
2009-11-10,25.0
2009-11-11,0.0
2009-11-17,10.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,0.0
