ticker,SASR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7037
2000-01-04,0.0
2000-01-05,-1.9231
2000-01-06,0.4902
2000-01-07,-0.4878
2000-01-10,-3.1863
2000-01-11,-2.7848
2000-01-12,-5.7292
2000-01-13,-1.105
2000-01-14,2.7933
2000-01-18,2.1739
2000-01-19,0.0
2000-01-20,-1.8617
2000-01-21,1.897
2000-01-24,-1.8617
2000-01-25,-0.813
2000-01-26,2.1858
2000-01-27,-2.6738
2000-01-28,0.2747
2000-01-31,0.0
2000-02-01,-3.5616
2000-02-02,0.5682
2000-02-03,0.0
2000-02-04,-0.565
2000-02-07,1.4205
2000-02-08,-4.7619
2000-02-09,1.7647
2000-02-10,-2.8902
2000-02-11,-3.5714
2000-02-14,2.4691
2000-02-15,-5.4217
2000-02-16,-0.6369
2000-02-17,2.5641
2000-02-18,-0.3125
2000-02-22,-1.2539
2000-02-23,1.5873
2000-02-24,-3.75
2000-02-25,3.2468
2000-02-28,0.9434
2000-02-29,2.8037
2000-03-01,0.6061
2000-03-02,-0.241
2000-03-03,0.9146
2000-03-06,-5.136
2000-03-07,1.5924
2000-03-08,-2.8213
2000-03-09,1.2903
2000-03-10,-0.6369
2000-03-13,-1.2821
2000-03-14,0.6494
2000-03-15,-0.9677
2000-03-16,9.4463
2000-03-17,-0.2976
2000-03-20,2.6866
2000-03-21,-2.3256
2000-03-22,2.9762
2000-03-23,2.8902
2000-03-24,-3.3708
2000-03-27,4.6512
2000-03-28,-3.8889
2000-03-29,-5.7803
2000-03-30,0.6135
2000-03-31,1.2195
2000-04-03,-2.1084
2000-04-04,2.1538
2000-04-05,4.8193
2000-04-06,1.1494
2000-04-07,1.7045
2000-04-10,-1.6760000000000002
2000-04-11,3.4091
2000-04-12,2.1978
2000-04-13,2.6882
2000-04-14,-1.5707
2000-04-17,-6.383
2000-04-18,7.3864
2000-04-19,-2.1164
2000-04-20,-1.6216
2000-04-24,0.0
2000-04-25,-1.0989
2000-04-26,5.0
2000-04-27,-0.5291
2000-04-28,1.0638
2000-05-01,2.1053
2000-05-02,-3.0928
2000-05-03,-3.7234
2000-05-04,2.2099
2000-05-05,-3.2432
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-5.0279
2000-05-11,5.8824
2000-05-12,-3.3333
2000-05-15,-0.2874
2000-05-16,-0.2882
2000-05-17,6.9364
2000-05-18,-3.5135
2000-05-19,-2.2409
2000-05-22,0.8596
2000-05-23,1.1364
2000-05-24,1.1236
