ticker,CPIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-08-11,-1.0
2009-08-12,1.0101
2009-08-13,0.2647
2009-08-14,-0.2053
2009-08-17,-1.2346
2009-08-18,-0.2976
2009-08-19,0.0
2009-08-20,-0.7761
2009-08-21,0.7822
2009-08-24,0.597
2009-08-25,0.0593
2009-08-26,-0.4745
2009-08-27,-0.1788
2009-08-28,0.0
2009-08-31,-0.0597
2009-09-01,-3.8232
2009-09-02,-0.8075
2009-09-03,4.1954
2009-09-04,0.6611
2009-09-08,-1.5522
2009-09-09,2.7896
2009-09-10,-1.4159
2009-09-11,-4.7876
2009-09-14,-3.7084
2009-09-15,-1.5666
2009-09-16,9.4164
2009-09-17,0.4848
2009-09-18,2.4125
2009-09-21,0.0589
2009-09-22,-1.5892
2009-09-23,-2.2727
2009-09-24,0.0612
2009-09-25,-6.7278
2009-09-28,2.0328
2009-09-29,5.9769
2009-09-30,-1.8193000000000001
2009-10-01,-0.6177
2009-10-02,-3.729
2009-10-05,-1.0975
2009-10-06,1.3708
2009-10-07,-0.1932
2009-10-08,-0.5806
2009-10-09,-0.3245
2009-10-12,-4.1667
2009-10-13,1.087
2009-10-14,-3.6962
2009-10-15,-3.6985
2009-10-16,-2.8986
2009-10-19,2.6866
2009-10-20,-0.0727
2009-10-21,-1.0909
2009-10-22,-1.25
2009-10-23,-2.9784
2009-10-26,3.9908
2009-10-27,-2.7306
2009-10-28,-9.3323
2009-10-29,0.7531
2009-10-30,-1.1628
2009-11-02,2.6891
2009-11-03,2.1277
2009-11-04,-3.3654
2009-11-05,4.3118
2009-11-06,-1.2719
2009-11-09,0.7246
2009-11-10,7.2742
2009-11-11,0.2235
2009-11-12,-0.5204
2009-11-13,1.1211
2009-11-16,5.3954
2009-11-17,-0.0701
2009-11-18,1.9649
2009-11-19,0.6194
2009-11-20,5.6088000000000005
2009-11-23,-1.8782
2009-11-24,3.6304
2009-11-25,-0.3185
2009-11-27,-4.2812
2009-11-30,-4.2056000000000004
2009-12-01,-2.8571
2009-12-02,-0.3587
2009-12-03,-4.8236
2009-12-04,3.7821
2009-12-07,-2.2595
2009-12-08,-1.1931
2009-12-09,3.3962
2009-12-10,2.0438
2009-12-11,-1.5021
2009-12-14,0.9441
2009-12-15,0.3597
2009-12-16,0.7885
2009-12-17,-1.8492
2009-12-18,0.7246
2009-12-21,2.8777
2009-12-22,-2.7972
2009-12-23,2.446
2009-12-24,-0.7022
2009-12-28,0.2122
2009-12-29,0.1411
