ticker,AQB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-10,2214.7826
2017-01-11,15821.8633
2017-01-12,-35.0321
2017-01-13,-9.355
2017-01-17,9.1667
2017-01-18,-5.6958
2017-01-19,50.6849
2017-01-20,-3.7603
2017-01-23,-12.6664
2017-01-24,-25.3687
2017-01-25,-0.3953
2017-01-26,-3.0423
2017-01-27,-18.4857
2017-01-30,9.3724
2017-01-31,5.5853
2017-02-01,-8.6232
2017-02-02,0.3172
2017-02-03,3.9526
2017-02-06,19.8479
2017-02-07,7.297
2017-02-08,6.505
2017-02-09,-2.5541
2017-02-10,-13.3333
2017-02-13,-1.3149
2017-02-14,-6.0626
2017-02-15,18.7943
2017-02-16,-7.5224
2017-02-17,-1.2266
2017-02-21,-0.2614
2017-02-22,-0.9174
2017-02-23,-2.4471
2017-02-24,-5.7627
2017-02-27,2.1583
2017-02-28,0.1408
2017-03-01,3.0239
2017-03-02,-0.4778
2017-03-03,-0.4115
2017-03-06,-3.719
2017-03-07,-3.3619
2017-03-08,1.9985
2017-03-09,-1.3062
2017-03-10,-2.1324
2017-03-13,-3.0804
2017-03-14,-4.9612
2017-03-15,-0.6525
2017-03-16,-1.3136
2017-03-17,-10.5657
2017-03-20,-0.186
2017-03-21,0.0
2017-03-22,-2.7027
2017-03-23,-1.8199
2017-03-24,1.3659
2017-03-27,1.8287
2017-03-28,0.7561
2017-03-29,-2.3452
2017-03-30,2.9779
2017-03-31,3.3582
2017-04-03,2.2563
2017-04-04,-4.06
2017-04-05,-2.3919
2017-04-06,3.2045
2017-04-07,-1.0046
2017-04-10,-4.1513
2017-04-11,-0.1925
2017-04-12,-2.6037
2017-04-13,-2.9703
2017-04-17,-5.6122
2017-04-18,-3.7838000000000003
2017-04-19,-3.3708
2017-04-20,-0.5814
2017-04-21,-0.2339
2017-04-24,-3.7515
2017-04-25,1.3397999999999999
2017-04-26,2.2837
2017-04-27,0.0
2017-04-28,-8.6957
2017-05-01,1.6731
2017-05-02,3.9241
2017-05-03,0.4872
2017-05-04,-1.8182
2017-05-05,2.0987999999999998
2017-05-08,0.8464
2017-05-09,-4.1966
2017-05-10,0.1252
2017-05-11,0.75
2017-05-12,2.8536
2017-05-15,5.4282
2017-05-16,-0.6865
2017-05-17,-2.5346
2017-05-18,0.7092
2017-05-19,-1.4085
2017-05-22,-0.8333
2017-05-23,-4.8019
2017-05-24,2.1438
2017-05-25,1.6049
2017-05-26,-2.4301
2017-05-30,2.2416
2017-05-31,0.1218
