ticker,SSER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-17,0.0
2004-06-22,0.0
2004-07-21,-30.0
2004-07-22,14.2857
2004-11-04,62.5
2004-11-15,-61.5385
2004-12-30,-60.0
2004-12-31,0.0
2005-01-19,-50.0
2005-02-09,600.0
2005-02-28,-42.8571
2005-03-03,-40.0
2005-03-21,-58.3333
2005-03-22,390.0
2005-03-23,-34.6939
2005-03-31,12.5
2005-04-01,0.0
2005-04-04,11.1111
2005-04-06,-5.0
2005-04-11,-21.0526
2005-04-12,20.0
2005-04-13,38.8889
2005-04-14,36.0
2005-04-15,-2.9412000000000003
2005-04-18,-15.1515
2005-04-21,0.0
2005-04-27,0.0
2005-04-28,14.2857
2005-04-29,-34.375
2005-05-02,104.7619
2005-05-03,46.5116
2005-05-04,-20.634900000000002
2005-05-05,-40.0
2005-05-06,33.3333
2005-05-09,0.0
2005-05-10,0.0
2005-05-11,-5.0
2005-05-12,31.5789
2005-05-13,-2.0
2005-05-16,2.0408
2005-05-17,10.0
2005-05-18,-9.0909
2005-05-19,-10.0
2005-05-20,11.1111
2005-05-23,-40.0
2005-05-24,63.3333
2005-05-25,-38.7755
2005-05-27,63.3333
2005-05-31,-32.6531
2005-06-02,66.6667
2005-06-03,14.5455
2005-06-06,-3.1746
2005-06-07,11.4754
2005-06-08,13.9706
2005-06-09,3.2258
2005-06-10,-6.25
2005-06-13,-16.0
2005-06-14,22.2222
2005-06-15,3.8961
2005-06-16,0.0
2005-06-17,-8.75
2005-06-20,2.7397
2005-06-21,5.3333
2005-06-22,1.2658
2005-06-23,12.5
2005-06-24,22.2222
2005-06-27,18.1818
2005-06-28,34.6154
2005-06-29,71.4286
2005-06-30,-43.3333
2005-07-01,-26.4706
2005-07-05,28.8
2005-07-06,11.1801
2005-07-07,-7.8212
2005-07-08,0.303
2005-07-11,-9.3656
2005-07-12,-10.0
2005-07-13,11.1111
2005-07-14,-2.6
2005-07-15,2.6694
2005-07-18,-3.3333
2005-07-19,-2.4138
2005-07-20,2.4735
2005-07-21,-6.2069
2005-07-22,-25.7353
2005-07-25,9.901
2005-07-26,-2.7027
2005-07-27,1.8519
2005-07-28,1.8182
2005-07-29,-6.25
2005-08-01,-13.3333
2005-08-02,-6.5934
2005-08-03,20.0
2005-08-04,-16.6667
2005-08-05,-11.7647
2005-08-08,0.0
2005-08-09,0.0
2005-08-10,-2.6667
2005-08-11,-2.7397
2005-08-12,5.6338
2005-08-15,0.0
2005-08-16,1.3333
