ticker,RIHT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-28,0.0
2013-07-05,60.0
2013-07-09,8.75
2013-07-15,0.0
2013-07-17,-41.3793
2013-07-18,1.9607999999999999
2013-07-19,284.6154
2013-07-26,-25.0
2013-07-29,-3.3333
2013-07-30,0.0
2013-07-31,3.4483
2013-08-01,0.0
2013-08-02,0.0
2013-08-06,-46.6667
2013-08-08,31.25
2013-08-12,-4.7619
2013-08-26,-24.9875
2013-09-05,-0.0167
2013-09-17,0.0
2013-09-23,0.0
2013-10-01,-22.2667
2013-10-03,-14.2367
2013-10-07,20.0
2013-10-10,8.3333
2013-10-11,16.9231
2013-10-14,-7.8947
2013-10-15,0.0
2013-10-21,0.0
2013-10-23,-1.4285999999999999
2013-10-24,-5.7971
2013-10-28,0.0
2013-10-29,7.6923
2013-10-30,2.8571
2013-10-31,-2.7778
2013-11-04,1.4285999999999999
2013-11-06,1.4085
2013-11-12,0.0
2013-11-14,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-25,1.3889
2013-11-26,2.7397
2013-11-27,0.0
2013-11-29,9.3333
2013-12-02,-14.6341
2013-12-04,7.1429
2013-12-05,-20.0
2013-12-09,-10.0
2013-12-10,-3.6806
2013-12-13,15.3569
2013-12-16,19.9792
2013-12-17,-9.7065
2013-12-18,-13.8462
2013-12-26,25.0
2013-12-27,7.125
2013-12-30,-1.3169
2014-01-02,1.3345
2014-01-09,-9.3182
2014-01-13,-11.7647
2014-01-16,11.6667
2014-01-17,0.0
2014-01-21,-10.4478
2014-01-23,0.8333
2014-01-24,9.0909
2014-01-27,-1.5152
2014-01-28,0.0
2014-01-29,1.5385
2014-01-30,0.7576
2014-01-31,5.2632
2014-02-03,-1.4285999999999999
2014-02-04,-1.4493
2014-02-05,2.9412000000000003
2014-02-06,2.8571
2014-02-07,-2.0833
2014-02-10,3.5461
2014-02-11,-1.3699
2014-02-12,1.3889
2014-02-13,-1.3699
2014-02-14,0.0
2014-02-18,0.0
2014-02-19,1.3889
2014-02-20,2.7397
2014-02-21,1.3333
2014-02-24,7.8947
2014-02-25,4.878
2014-02-26,3.4884
2014-02-27,-12.3596
2014-02-28,0.7933
2014-03-03,-2.059
2014-03-04,-6.3636
2014-03-05,-2.7739000000000003
2014-03-06,5.5635
2014-03-07,4.0541
2014-03-10,1.1688
2014-03-11,9.7561
2014-03-12,1.7544
2014-03-13,-2.2989
2014-03-14,-3.5294
2014-03-17,-2.3171
2014-03-18,0.9988
