ticker,SOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-28,6.6667
2017-05-01,19.5313
2017-05-02,2.8758
2017-05-03,0.0
2017-05-04,-0.7624
2017-05-05,-3.073
2017-05-08,0.0
2017-05-09,5.9445
2017-05-10,-3.2419000000000002
2017-05-11,2.3196
2017-05-12,-0.7557
2017-05-15,-0.2538
2017-05-16,-3.944
2017-05-17,-0.2649
2017-05-18,-2.3904
2017-05-19,-1.4966
2017-05-22,2.6243
2017-05-23,-0.5384
2017-05-24,-1.4885
2017-05-25,-3.022
2017-05-26,0.1416
2017-05-30,0.1414
2017-05-31,0.0
2017-06-01,-2.8249
2017-06-02,-6.9767
2017-06-05,-0.1563
2017-06-06,-3.2864
2017-06-07,10.356
2017-06-08,2.6393
2017-06-09,-1.8571
2017-06-12,0.2911
2017-06-13,0.5806
2017-06-14,0.2886
2017-06-15,0.5755
2017-06-16,-2.8612
2017-06-19,-0.7364
2017-06-20,-2.3739
2017-06-21,0.152
2017-06-22,-6.2215
2017-06-23,2.4272
2017-06-26,-2.6856
2017-06-27,-2.4351
2017-06-28,-0.9983
2017-06-29,-2.1849
2017-06-30,-1.7182
2017-07-03,1.3986
2017-07-05,-0.6897
2017-07-06,2.9514
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,1.1804000000000001
2017-07-12,1.1667
2017-07-13,3.7891
2017-07-14,13.4921
2017-07-17,-2.9371
2017-07-18,0.7205
2017-07-19,-0.4292
2017-07-20,-0.1437
2017-07-21,-2.1583
2017-07-24,0.4412
2017-07-25,-0.5857
2017-07-26,0.0
2017-07-27,-0.5891
2017-07-28,-1.3333
2017-07-31,5.1051
2017-08-01,0.0
2017-08-02,-1.8571
2017-08-03,-0.1456
2017-08-04,1.0204
2017-08-07,0.4329
2017-08-08,0.431
2017-08-09,-0.2861
2017-08-10,-1.0043
2017-08-11,-0.5797
2017-08-14,0.4373
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,-4.9347
2017-08-18,-3.0534
2017-08-21,-4.4094
2017-08-22,0.4942
2017-08-23,0.0
2017-08-24,1.3115
2017-08-25,2.1036
2017-08-28,-3.1696
2017-08-29,4.419
2017-08-30,0.627
2017-08-31,0.7788
2017-09-01,5.4096
2017-09-05,-1.6129
2017-09-06,-2.9806
2017-09-07,-0.4608
2017-09-08,-4.9383
2017-09-11,1.7856999999999998
2017-09-12,-1.2759
2017-09-13,1.9386
2017-09-14,-2.0602
2017-09-15,-0.8091
2017-09-18,0.0
