ticker,BGSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-13,5.5286
2014-05-19,-1.8546
2014-05-21,-2.7586
2014-06-17,4.9645
2014-07-02,-5.1350999999999996
2014-07-25,-0.1425
2014-08-14,14.1227
2014-08-15,-11.25
2014-08-21,5.6338
2014-08-28,20.0
2014-08-29,22.2222
2014-09-03,9.0
2014-09-11,4.2535
2014-09-18,-4.08
2014-09-23,0.0
2014-09-30,4.2535
2014-10-07,-4.0
2014-11-17,-0.0833
2014-11-19,0.0
2014-11-25,0.0
2014-12-24,0.0
2014-12-31,9.7973
2015-01-02,0.0
2015-01-06,0.0
2015-01-13,0.0
2015-01-27,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-10,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,0.0
2015-02-27,-3.8462
2015-03-02,2.8735
2015-03-03,-1.1174
2015-03-05,-0.0433
2015-03-10,2.1243
2015-03-11,0.1541
2015-03-16,-2.3077
2015-03-19,0.0
2015-03-20,0.0
2015-03-25,1.9685000000000001
2015-03-31,0.0772
2015-04-01,0.3086
2015-04-06,-2.9755000000000003
2015-04-07,0.9261
2015-04-09,-3.2207
2015-04-14,3.5714
2015-04-17,1.8809
2015-04-20,-7.6923
2015-05-04,0.0
2015-05-05,-1.9167
2015-05-06,0.0
2015-05-07,0.0
2015-05-11,2.4306
2015-05-12,-1.6949
2015-05-13,1.7241
2015-05-15,-6.8644
2015-05-18,2.0928
2015-05-19,-1.0695000000000001
2015-05-20,0.0
2015-05-21,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,6.7568
2015-06-01,0.0
2015-06-04,-7.173
2015-06-05,-0.092
2015-06-08,0.0921
2015-06-09,0.0
2015-06-10,-1.6364
2015-06-11,0.0
2015-06-12,1.6636
2015-06-15,1.5455
2015-06-16,0.1343
2015-06-17,-0.4023
2015-06-18,1.7953000000000001
2015-06-19,-1.4109
2015-06-22,1.5038
2015-06-23,0.4571
2015-06-24,0.1025
2015-06-25,-0.0148
2015-06-26,-0.1139
2015-06-29,-1.6408
2015-06-30,1.7841
2015-07-01,-0.0876
2015-07-02,0.0877
2015-07-06,0.0876
2015-07-07,0.1751
2015-07-08,4.894
2015-07-09,0.0
2015-07-10,-0.999
2015-07-13,2.6936
2015-07-14,-1.8084
2015-07-15,2.76
2015-07-16,-2.437
2015-07-17,3.9966
2015-07-20,1.3072
2015-07-21,-1.2904
2015-07-22,0.0
2015-07-23,0.0
2015-07-27,-1.8806
