ticker,SMKC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-12,-33.1897
2016-02-16,-22.5806
2016-02-17,16.849
2016-02-18,0.0
2016-02-19,-10.8536
2016-02-22,20.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,7.2083
2016-02-26,-12.4368
2016-02-29,-7.2348
2016-03-01,29.7608
2016-03-02,-24.7788
2016-03-03,21.9363
2016-03-07,-9.8291
2016-03-08,0.0
2016-03-09,6.955
2016-03-10,3.7932
2016-03-14,-30.5422
2016-03-15,0.0
2016-03-16,-2.8621
2016-03-18,0.0
2016-03-23,-19.0476
2016-03-31,17.647100000000002
2016-04-01,-6.9063
2016-04-04,-23.7664
2016-04-05,-33.0691
2016-04-08,15.7895
2016-04-11,0.0
2016-04-13,0.0
2016-04-14,-6.25
2016-04-15,6.6667
2016-04-20,-6.25
2016-04-22,6.6667
2016-04-26,-6.25
2016-04-28,-27.2727
2016-04-29,35.9167
2016-05-03,7.9093
2016-05-06,0.0
2016-05-10,-7.3295
2016-05-13,0.0
2016-05-17,-1.9007
2016-05-19,0.0
2016-05-20,0.0
2016-05-27,0.0
2016-06-01,-10.0
2016-06-06,-22.2222
2016-06-09,-21.4286
2016-06-14,0.0
2016-06-16,0.0
2016-06-22,-14.6591
2016-06-23,0.0
2016-06-28,-8.1225
2016-06-29,7.1014
2016-06-30,-6.6306
2016-07-01,0.0
2016-07-13,-17.971
2016-07-15,-15.1943
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-22,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-08-02,-25.0
2016-08-03,18.8889
2016-08-04,-47.6636
2016-08-05,33.0357
2016-08-08,-3.3557
2016-08-09,-22.2222
2016-08-15,4.0179
2016-08-16,-10.7296
2016-08-17,6.7308
2016-08-23,8.1081
2016-08-31,19.5833
2016-09-02,0.0
2016-09-27,-21.9512
2016-12-12,35.7143
2016-12-13,44.7368
2016-12-14,-60.0
2017-01-04,81.8182
2017-02-08,0.0
2017-03-08,-22.5
2017-03-09,29.0323
2017-03-23,-20.0
2017-03-24,87.5
2017-03-30,-33.3333
2017-03-31,-13.4375
2017-04-03,-13.3574
2017-04-04,-13.3333
2017-04-07,69.2308
2017-05-10,13.6364
2017-06-14,0.0
2017-06-16,-20.0
2017-06-27,-30.0
2017-06-30,78.5714
2017-07-10,-36.0
2017-07-27,-12.892
2017-07-28,6.25
2017-08-02,41.1765
2017-08-09,-25.0
