ticker,VMCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-10,3650.0
2003-04-10,-80.0
2003-05-20,100.0
2003-05-27,233.3333
2003-05-28,-2.5
2003-07-07,-68.2051
2004-10-13,25.0
2004-11-01,56.7742
2004-11-02,7.4074
2004-11-03,2.2989
2004-11-04,1.1236
2004-11-05,2.2222
2004-11-08,2.1739
2004-11-09,2.1277
2004-11-11,-1.0417
2004-11-15,0.0
2004-11-16,3.1579
2004-11-18,-2.0408
2004-11-22,5.2083
2004-11-23,-5.9406
2004-11-30,15.7895
2004-12-03,4.5455
2004-12-06,0.0
2004-12-07,-13.0435
2004-12-08,-3.0
2004-12-09,13.4021
2004-12-14,-4.5455
2004-12-17,4.7619
2004-12-22,-4.5455
2004-12-27,15.2381
2004-12-28,23.9669
2004-12-29,5.3333
2004-12-30,-4.4304
2004-12-31,0.6623
2005-01-03,2.3026
2005-01-04,1.6077
2005-01-05,2.5316
2005-01-06,-2.4691
2005-01-07,6.3291
2005-01-10,1.7856999999999998
2005-01-11,0.5848
2005-01-12,1.7442
2005-01-13,-4.0
2005-01-14,4.7619
2005-01-18,2.2159
2005-01-19,1.1673
2005-01-20,1.0989
2005-01-21,-3.2609
2005-01-24,3.3708
2005-01-25,0.5435
2005-01-26,0.5405
2005-01-27,0.5376
2005-01-28,0.0
2005-01-31,-5.615
2005-02-01,-0.8499
2005-02-02,2.8571
2005-02-03,0.0
2005-02-04,1.1111
2005-02-07,-0.5495
2005-02-08,0.0
2005-02-09,11.8163
2005-02-10,12.1611
2005-02-11,17.6211
2005-02-14,5.2434
2005-02-15,-11.7438
2005-02-16,11.6935
2005-02-17,-8.6643
2005-02-18,5.1383
2005-02-22,2.2556
2005-02-23,0.3676
2005-02-24,-1.0989
2005-02-25,-0.7407
2005-02-28,2.2388
2005-03-01,-3.2847
2005-03-02,0.0
2005-03-03,0.0
2005-03-04,1.8868
2005-03-07,-2.963
2005-03-08,4.5802
2005-03-09,0.365
2005-03-10,-1.4545
2005-03-11,-0.369
2005-03-14,4.0741
2005-03-15,2.1352
2005-03-16,0.0
2005-03-17,1.0453
2005-03-18,0.0
2005-03-21,-1.3793
2005-03-22,-1.3986
2005-03-23,0.7092
2005-03-24,-3.5211
2005-03-28,-0.365
2005-03-29,1.4652
2005-03-30,1.083
2005-03-31,-1.0714
2005-04-01,-0.361
2005-04-04,-3.2609
2005-04-05,-1.8727
2005-04-06,0.0
2005-04-07,-0.7634
2005-04-08,0.7692
