ticker,TSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-09,9.4783
2013-05-10,0.4766
2013-05-13,0.7905
2013-05-14,0.0
2013-05-15,2.3529
2013-05-16,-0.3831
2013-05-17,0.4615
2013-05-20,2.5268
2013-05-21,-0.6721
2013-05-22,5.2632
2013-05-23,-3.5714
2013-05-24,-0.5185
2013-05-28,4.6165
2013-05-29,-0.3559
2013-05-30,-0.0714
2013-05-31,-1.2152
2013-06-03,-2.3878
2013-06-04,0.6672
2013-06-05,-0.6627
2013-06-06,0.0741
2013-06-07,-0.2963
2013-06-10,-1.5602
2013-06-11,1.5093999999999999
2013-06-12,0.2974
2013-06-13,0.0
2013-06-14,-0.6672
2013-06-17,-2.5373
2013-06-18,-1.4548
2013-06-19,0.5439
2013-06-20,-2.473
2013-06-21,2.8526
2013-06-24,0.8475
2013-06-25,0.6112
2013-06-26,-1.063
2013-06-27,3.3768000000000002
2013-06-28,2.0787
2013-07-01,-0.3636
2013-07-02,0.219
2013-07-03,-0.2185
2013-07-05,0.146
2013-07-08,-1.6764000000000001
2013-07-09,0.2224
2013-07-10,-0.2219
2013-07-11,-1.3343
2013-07-12,-0.8264
2013-07-15,-0.5303
2013-07-16,-0.3046
2013-07-17,-0.5348
2013-07-18,0.8449
2013-07-19,0.0914
2013-07-22,-0.3196
2013-07-23,-2.0611
2013-07-24,0.4677
2013-07-25,2.8704
2013-07-26,0.4525
2013-07-29,-0.5631
2013-07-30,0.6418
2013-07-31,0.3751
2013-08-01,4.559
2013-08-02,-0.2144
2013-08-05,0.3582
2013-08-06,-1.7844
2013-08-07,-1.2355
2013-08-08,0.4415
2013-08-09,-0.3663
2013-08-12,-1.8382
2013-08-13,-0.9738
2013-08-14,0.3026
2013-08-15,-2.187
2013-08-16,1.0794
2013-08-19,-0.1526
2013-08-20,-0.5348
2013-08-21,-0.768
2013-08-22,1.7027999999999999
2013-08-23,-0.2283
2013-08-26,-1.1442
2013-08-27,-0.6944
2013-08-28,-0.3108
2013-08-29,0.9353
2013-08-30,0.7722
2013-09-03,-0.3065
2013-09-04,-0.0769
2013-09-05,0.3846
2013-09-06,-1.1494
2013-09-09,-1.1628
2013-09-10,-1.098
2013-09-11,1.1102
2013-09-12,0.0
2013-09-13,-0.7059
2013-09-16,-2.9226
2013-09-17,-0.1627
2013-09-18,-0.7335
2013-09-19,-5.0082
2013-09-20,0.0864
2013-09-23,5.2677
2013-09-24,4.5939
2013-09-25,-1.9607999999999999
2013-09-26,2.4
