ticker,TBLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-04,-4.0
2018-12-06,-3.8462
2018-12-07,0.0
2018-12-10,0.0
2018-12-11,-0.3333
2018-12-12,-8.6957
2018-12-13,-17.5824
2018-12-14,-31.5556
2018-12-17,-17.5325
2018-12-18,22.0394
2018-12-19,-26.4469
2018-12-20,-0.8772
2018-12-21,-15.0442
2018-12-24,-10.4167
2018-12-26,10.6977
2018-12-27,-4.4118
2018-12-28,23.5824
2018-12-31,4.037
2019-01-02,-7.6923
2019-01-03,-6.6574
2019-01-04,3.1644
2019-01-07,9.6154
2019-01-08,0.8772
2019-01-09,-3.4783
2019-01-10,6.3153
2019-01-11,47.4451
2019-01-14,-15.5172
2019-01-15,-14.7755
2019-01-16,156.2261
2019-01-17,-6.5421
2019-01-18,-1.8333
2019-01-22,7.6401
2019-01-23,-5.0473
2019-01-24,20.598
2019-01-25,-16.2534
2019-01-28,-1.3158
2019-01-29,-8.0
2019-01-30,-5.7971
2019-01-31,-6.5385
2019-02-01,11.9342
2019-02-04,-2.9412000000000003
2019-02-05,0.0
2019-02-06,-0.7576
2019-02-07,3.8167999999999997
2019-02-08,-1.1029
2019-02-11,-8.5502
2019-02-12,-14.6341
2019-02-13,-2.3810000000000002
2019-02-14,-4.3902
2019-02-15,3.0612
2019-02-19,-2.4752
2019-02-20,-6.0914
2019-02-21,0.0
2019-02-22,-2.7027
2019-02-25,-8.3333
2019-02-26,-7.2727
2019-02-27,5.2288
2019-02-28,4.3478
2019-03-01,-4.1667
2019-03-04,-4.3478
2019-03-05,0.6494
2019-03-06,1.2903
2019-03-07,-7.6433
2019-03-08,6.8966
2019-03-11,8.3871
2019-03-12,-5.9524
2019-03-13,-3.1646
2019-03-14,1.3072
2019-03-15,-1.9355
2019-03-18,0.6579
2019-03-19,0.6536
2019-03-20,2.5974
2019-03-21,8.8608
2019-03-22,-1.1628
2019-03-25,1.7647
2019-03-26,2.8902
2019-03-27,-1.1236
2019-03-28,-2.8409
2019-03-29,1.1696
2019-04-01,-6.3584
2019-04-02,0.0
2019-04-03,-4.9383
2019-04-04,1.9481000000000002
2019-04-05,-3.8217
2019-04-08,-2.649
2019-04-09,-1.9388
2019-04-10,-5.6538
2019-04-11,2.2059
2019-04-12,-2.8777
2019-04-15,-3.0222
2019-04-16,-10.6324
2019-04-17,0.0
2019-04-18,1.7094
2019-04-22,0.8403
2019-04-23,-3.3333
2019-04-24,-4.3103
2019-04-25,-3.6036
