ticker,GRVY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-08,-6.7407
2005-02-09,-5.1628
2005-02-10,-4.9414
2005-02-11,3.7885
2005-02-14,-3.6503
2005-02-15,2.5551
2005-02-16,-0.3436
2005-02-17,0.0
2005-02-18,-1.8965999999999998
2005-02-22,-3.3392
2005-02-23,0.0
2005-02-24,1.3636
2005-02-25,-1.3453
2005-02-28,0.6364
2005-03-01,0.0
2005-03-02,0.271
2005-03-03,2.7927999999999997
2005-03-04,0.7888
2005-03-07,-2.1739
2005-03-08,-0.1778
2005-03-09,-1.5138
2005-03-10,2.5316
2005-03-11,3.6155
2005-03-14,-4.5106
2005-03-15,-3.2977
2005-03-16,3.6866
2005-03-17,-1.7778
2005-03-18,-1.056
2005-03-21,-2.134
2005-03-22,0.0
2005-03-23,-4.2991
2005-03-24,-5.1111
2005-03-28,-8.9087
2005-03-29,-2.2709
2005-03-30,4.6243
2005-03-31,4.3094
2005-04-01,-1.8008
2005-04-04,-2.9126
2005-04-05,-5.4444
2005-04-06,-5.1704
2005-04-07,0.3717
2005-04-08,3.7037
2005-04-11,2.5
2005-04-12,1.626
2005-04-13,-3.7714
2005-04-14,4.3943
2005-04-15,-1.5927
2005-04-18,-1.5029
2005-04-19,5.0469
2005-04-20,0.0
2005-04-21,0.0
2005-04-22,-0.2235
2005-04-25,0.5599
2005-04-26,-2.0045
2005-04-27,1.7045
2005-04-28,-0.3352
2005-04-29,0.2242
2005-05-02,3.4676
2005-05-03,0.5405
2005-05-04,0.3226
2005-05-05,-1.2862
2005-05-06,0.2172
2005-05-09,0.0
2005-05-10,-0.2167
2005-05-11,0.9772
2005-05-12,-0.6452
2005-05-13,-39.3939
2005-05-16,0.8929
2005-05-17,5.8407
2005-05-18,13.7124
2005-05-19,11.1765
2005-05-20,-2.1164
2005-05-23,-3.7838000000000003
2005-05-24,-1.8258
2005-05-25,-6.4378
2005-05-26,-3.9755000000000003
2005-05-27,0.0
2005-05-31,-0.4777
2005-06-01,2.568
2005-06-02,4.048
2005-06-03,-1.7991000000000001
2005-06-06,0.458
2005-06-07,-1.9757
2005-06-08,0.155
2005-06-09,4.9536
2005-06-10,3.9823
2005-06-13,4.1135
2005-06-14,2.3161
2005-06-15,4.5273
2005-06-16,2.293
2005-06-17,-0.4981
2005-06-20,0.1252
2005-06-21,0.0
2005-06-22,0.375
2005-06-23,2.7397
2005-06-24,0.0
2005-06-27,2.5455
2005-06-28,-1.8913
2005-06-29,2.4096
