ticker,SZBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,-2.5641
2000-01-12,2.6316
2000-01-13,2.5641
2000-01-19,1.25
2000-02-02,-3.5088
2000-02-04,3.8961
2000-02-07,-1.25
2000-02-15,5.0633
2000-02-23,2.4096
2000-03-02,3.5294
2000-03-07,3.4091
2000-03-08,-3.2967
2000-03-13,0.0
2000-03-17,0.0
2000-03-21,-3.4091
2000-03-22,0.5882
2000-04-03,0.0
2000-04-06,0.0
2000-04-12,2.924
2000-04-13,-2.2727
2000-04-17,-3.2558
2000-04-18,1.2195
2000-04-24,-3.6145
2000-05-04,0.0
2000-05-05,2.5
2000-05-11,0.0
2000-05-12,0.0
2000-05-19,-2.439
2000-05-24,-2.5
2000-05-25,0.0
2000-05-26,-2.5641
2000-06-02,0.0
2000-06-05,0.0
2000-06-06,0.0
2000-06-08,0.0
2000-06-12,0.0
2000-06-13,1.3158
2000-06-16,0.0
2000-06-22,0.0
2000-06-23,1.2987
2000-06-26,0.0
2000-06-27,-2.5641
2000-06-28,-2.6316
2000-06-29,2.7027
2000-07-11,0.0
2000-07-12,1.3158
2000-07-17,0.0
2000-07-18,0.0
2000-07-20,1.2987
2000-07-24,0.0
2000-07-26,-1.2821
2000-07-28,1.5584
2000-08-01,0.0
2000-08-07,-5.1948
2000-08-08,4.1096
2000-08-09,0.0
2000-08-11,-2.6316
2000-08-14,-1.3514
2000-08-15,8.2192
2000-08-18,0.0
2000-08-21,0.6329
2000-08-22,0.0
2000-08-23,-1.8868
2000-08-24,2.5641
2000-08-25,-5.0
2000-08-28,2.6316
2000-08-30,0.0
2000-09-01,1.2821
2000-09-05,-1.2658
2000-09-07,0.641
2000-09-12,1.2739
2000-09-13,0.6289
2000-09-14,0.0
2000-09-20,0.0
2000-09-22,0.0
2000-09-29,0.0
2000-10-03,0.0
2000-10-04,-1.25
2000-10-05,-1.2658
2000-10-12,1.2821
2000-10-20,0.6329
2000-10-23,0.6289
2000-10-25,-2.5
2000-10-30,4.1026
2000-11-01,-1.25
2000-11-02,-1.8987
2000-11-06,0.6452
2000-11-07,0.0
2000-11-08,-2.5641
2000-11-15,0.0
2000-11-24,0.0
2000-11-29,-5.2632
2000-11-30,-2.7778
2000-12-01,0.0
2000-12-04,0.0
2000-12-05,5.7143
2000-12-06,1.3514
2000-12-11,1.3333
2000-12-12,2.6316
2000-12-20,1.2821
2000-12-21,-1.2658
2000-12-22,-2.5641
2000-12-27,3.9474
