ticker,NTLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,-5.0
2009-12-14,5.2632
2009-12-22,-10.0
2009-12-29,11.1111
2009-12-30,-5.0
2010-01-04,5.2632
2010-01-07,-42.5
2010-01-26,-13.0435
2010-02-22,18.0
2010-02-24,-1.6949
2010-02-26,-5.1724
2010-03-02,0.0
2010-03-09,-5.4545
2010-03-10,-3.8462
2010-03-11,2.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,0.0
2010-03-19,-1.9607999999999999
2010-03-24,2.0
2010-03-26,-33.3333
2010-04-12,47.0588
2010-04-13,-4.0
2010-04-14,0.0
2010-04-27,-16.6667
2010-04-29,20.0
2010-04-30,0.0
2010-05-03,0.0
2010-05-04,0.0
2010-05-06,0.0
2010-05-07,-4.1667
2010-05-11,4.3478
2010-05-12,0.0
2010-05-18,0.0
2010-05-21,-6.25
2010-05-27,-11.1111
2010-06-03,0.0
2010-06-04,-55.0
2010-06-10,133.3333
2010-06-11,-57.1429
2010-06-15,122.2222
2010-06-16,-55.0
2010-06-18,0.0
2010-07-15,88.8889
2010-07-20,2.9412000000000003
2010-07-21,-42.8571
2010-07-26,75.0
2010-07-27,-42.8571
2010-07-30,45.0
2010-08-04,13.7931
2010-08-05,-7.5758
2010-08-06,-1.6393
2010-08-10,6.6667
2010-08-11,-3.125
2010-08-16,3.2258
2010-08-17,0.0
2010-08-18,-6.25
2010-08-23,3.3333
2010-08-25,3.2258
2010-08-26,-6.25
2010-08-30,0.0
2010-09-01,-3.3333
2010-09-02,3.4483
2010-09-03,-13.3333
2010-09-13,0.0
2010-09-20,-30.7692
2010-09-22,44.4444
2010-09-24,-3.8462
2010-09-27,-60.0
2010-09-28,170.0
2010-09-29,-7.4074
2010-10-01,4.0
2010-10-05,-3.8462
2010-10-12,4.0
2010-10-13,-3.8462
2010-10-15,4.0
2010-10-19,-3.8462
2010-10-20,0.0
2010-10-21,-4.0
2010-10-22,0.0
2010-10-25,8.3333
2010-10-27,3.8462
2010-10-29,11.1111
2010-11-01,0.0
2010-11-03,0.0
2010-11-04,-3.3333
2010-11-05,3.4483
2010-11-08,-3.3333
2010-11-10,-13.7931
2010-11-11,-4.0
2010-11-15,0.0
2010-11-16,0.0
2010-11-23,25.0
2010-11-24,-6.6667
2010-11-26,7.1429
2010-11-29,-5.0
2010-11-30,5.2632
2010-12-01,0.0
2010-12-07,0.0
2010-12-09,-16.6667
2010-12-15,-16.0
2010-12-20,14.2857
2010-12-21,25.0
