ticker,AZGFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-21,100.0
2000-02-01,0.0
2000-02-07,300.0
2000-02-08,0.0
2000-02-09,25.0
2000-02-10,0.0
2000-02-22,55.0
2000-02-23,3.2258
2000-02-24,0.0
2000-02-25,-12.5
2000-02-28,7.1429
2000-02-29,-6.6667
2000-03-03,-38.5714
2000-03-08,88.3721
2000-03-09,0.0
2000-03-14,-19.7531
2000-03-15,-19.2308
2000-04-17,-23.8095
2000-04-24,-25.0
2000-05-25,-8.3333
2000-09-18,-27.2727
2000-09-20,32.5
2000-09-21,0.0
2000-09-25,-0.4717
2000-10-16,-43.128
2000-11-13,-66.6667
2001-03-16,-20.0
2001-03-22,37.0
2001-03-23,0.0
2001-04-09,-56.2044
2001-06-15,50.0
2001-07-25,-32.3611
2001-10-02,-34.2916
2001-11-26,0.0
2001-12-10,-50.0
2001-12-28,100.0
2001-12-31,0.0
2002-01-29,112.5
2002-01-30,-29.4118
2002-02-22,93.3333
2002-11-13,-65.5172
2002-11-19,-12.5
2003-02-06,-15.7143
2003-02-19,154.2373
2003-03-18,73.3333
2003-04-07,-53.8462
2003-10-16,-16.6667
2003-10-22,20.0
2003-11-25,16.6667
2004-02-10,97.1429
2004-02-11,-34.2844
2004-07-14,21.2957
2004-10-01,-31.8182
2005-01-18,26.6667
2005-02-04,-21.0526
2005-03-24,6.6667
2005-09-23,-52.8906
2005-10-31,32.67
2005-11-07,38.0
2005-11-14,-39.1304
2006-01-04,-52.381
2006-03-21,200.0
2006-12-28,559.6875
2006-12-29,18.2378
2007-01-03,-0.4274
2007-01-16,-9.3079
2007-01-25,-9.302
2007-01-26,0.4402
2007-02-01,3.8961
2007-02-02,1.5
2007-02-06,-3.7254
2007-02-07,-21.4583
2007-02-09,0.9772
2007-02-20,10.3226
2007-02-23,4.6784
2007-02-28,-3.352
2007-03-05,-4.6243
2007-03-07,-0.7955
2007-03-08,3.8564
2007-03-09,5.2941
2007-03-12,10.3352
2007-03-16,-1.7722
2007-03-19,-29.8003
2007-03-20,9.0408
2007-03-22,2.6936
2007-03-23,-1.0451
2007-03-26,102.8992
2007-03-27,-8.8181
2007-03-29,3.8728
2007-04-02,6.1853
2007-04-03,-1.167
2007-04-04,-3.3371
2007-04-05,-0.4674
2007-04-09,-1.9317
2007-04-10,-4.2333
2007-04-11,-11.7045
2007-04-12,-4.556
2007-04-13,-1.9822
2007-04-16,12.0374
2007-04-17,4.9116
2007-04-18,-11.8212
