ticker,PBFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-18,47.5
2019-07-19,-2.7119
2019-07-22,0.0
2019-07-23,1.324
2019-07-24,-1.9945
2019-07-25,0.2456
2019-07-26,0.245
2019-07-29,-0.838
2019-07-30,0.2817
2019-07-31,1.1236
2019-08-01,-0.7639
2019-08-02,-0.14
2019-08-05,-1.5767
2019-08-06,0.89
2019-08-07,-0.2117
2019-08-08,0.3536
2019-08-09,0.1409
2019-08-12,-0.6334
2019-08-13,0.0708
2019-08-14,-1.1323
2019-08-15,0.2147
2019-08-16,0.2143
2019-08-19,0.0
2019-08-20,0.784
2019-08-21,-0.0707
2019-08-22,0.7077
2019-08-23,-0.773
2019-08-26,-0.7082
2019-08-27,0.214
2019-08-28,-0.0712
2019-08-29,0.0712
2019-08-30,-0.2135
2019-09-03,3.3524
2019-09-04,0.7591
2019-09-05,0.6164
2019-09-06,0.2723
2019-09-09,0.4073
2019-09-10,1.5551
2019-09-11,0.2663
2019-09-12,-7.9681
2019-09-13,0.2886
2019-09-16,-2.5899
2019-09-17,0.4431
2019-09-18,-1.3235000000000001
2019-09-19,-0.4471
2019-09-20,-2.7695
2019-09-23,-0.154
2019-09-24,-0.9252
2019-09-25,1.0895
2019-09-26,-2.3095
2019-09-27,-0.1576
2019-09-30,-1.4207
2019-10-01,-1.1209
2019-10-02,2.3482
2019-10-03,1.1867
2019-10-04,-1.1728
2019-10-07,-0.1582
2019-10-08,0.1585
2019-10-09,0.0791
2019-10-10,0.2372
2019-10-11,0.3155
2019-10-14,0.0
2019-10-15,1.3365
2019-10-16,0.2327
2019-10-17,0.0
2019-10-18,0.4644
2019-10-21,0.1541
2019-10-22,4.1538
2019-10-23,-0.8124
2019-10-24,-1.8615
2019-10-25,1.3657
2019-10-28,0.6737
2019-10-29,0.3717
2019-10-30,-0.4444
2019-10-31,0.4464
2019-11-01,-1.7778
2019-11-04,0.0754
2019-11-05,1.2811
2019-11-06,0.0744
2019-11-07,-0.3717
2019-11-08,0.0
2019-11-11,-0.0746
2019-11-12,0.0747
2019-11-13,-0.3731
2019-11-14,-2.5468
2019-11-15,0.9992
2019-11-18,0.8371
2019-11-19,-0.1509
2019-11-20,-0.6047
2019-11-21,-0.1521
2019-11-22,-0.1523
2019-11-25,0.0763
2019-11-26,-0.1524
2019-11-27,-0.3817
2019-11-29,1.7625
2019-12-02,1.5813000000000001
2019-12-03,0.0741
2019-12-04,0.5185
2019-12-05,0.3685
2019-12-06,1.395
