ticker,TCRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-14,0.4667
2019-02-15,-0.3981
2019-02-19,0.2665
2019-02-20,1.7276
2019-02-21,-1.1757
2019-02-22,5.9484
2019-02-25,2.2458
2019-02-26,1.2203
2019-02-27,15.431
2019-02-28,11.8016
2019-03-01,2.7557
2019-03-04,0.6818
2019-03-05,-8.7585
2019-03-06,-4.948
2019-03-07,-6.1947
2019-03-08,-13.2075
2019-03-11,5.8184000000000005
2019-03-12,5.8006
2019-03-13,8.9663
2019-03-14,-4.4025
2019-03-15,-4.8794
2019-03-18,4.0346
2019-03-19,4.9861
2019-03-20,-1.847
2019-03-21,1.6667
2019-03-22,-7.2977
2019-03-25,-4.4495000000000005
2019-03-26,8.3582
2019-03-27,-5.2342
2019-03-28,-0.2907
2019-03-29,1.6327
2019-04-01,-4.0734
2019-04-02,-0.9569
2019-04-03,3.2005
2019-04-04,-2.048
2019-04-05,-0.7766
2019-04-08,-0.4816
2019-04-09,7.5015
2019-04-10,-5.2898
2019-04-11,-4.2781
2019-04-12,2.0484
2019-04-15,-1.4599
2019-04-16,13.5185
2019-04-17,-5.2746
2019-04-18,5.3387
2019-04-22,14.2779
2019-04-23,-10.4435
2019-04-24,-13.6848
2019-04-25,4.7501999999999995
2019-04-26,-1.9435
2019-04-29,8.7087
2019-04-30,-8.1215
2019-05-01,1.6236000000000002
2019-05-02,-0.6509
2019-05-03,0.7743
2019-05-06,-4.7872
2019-05-07,1.9863
2019-05-08,-0.426
2019-05-09,-7.9462
2019-05-10,2.4568
2019-05-13,5.3143
2019-05-14,-3.8769
2019-05-15,3.5211
2019-05-16,-8.287
2019-05-17,-5.0573
2019-05-20,-0.2131
2019-05-21,1.2811
2019-05-22,-2.6704
2019-05-23,1.6606
2019-05-24,-0.7813
2019-05-28,2.9349
2019-05-29,4.3115
2019-05-30,-2.6667
2019-05-31,2.7397
2019-06-03,2.0667
2019-06-04,6.4664
2019-06-05,-4.2945
2019-06-06,-3.8462
2019-06-07,2.6667
2019-06-10,6.4935
2019-06-11,-0.3659
2019-06-12,-0.7344
2019-06-13,-5.3021
2019-06-14,-11.1979
2019-06-17,7.1114
2019-06-18,11.1567
2019-06-19,2.9557
2019-06-20,-6.7584
2019-06-21,-1.4753
2019-06-24,-5.013
2019-06-25,0.5483
2019-06-26,1.0907
2019-06-27,-2.3601
2019-06-28,-1.174
2019-07-01,-3.5639
2019-07-02,-1.3043
2019-07-03,1.3216
2019-07-05,2.6812
