ticker,SAIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,8.3333
2017-11-20,0.6923
2017-11-21,3.6669
2017-11-22,11.2749
2017-11-24,4.6358
2017-11-27,-1.5190000000000001
2017-11-28,-5.0129
2017-11-29,-2.9093
2017-11-30,2.439
2017-12-01,2.3129
2017-12-04,-2.1941
2017-12-05,-0.3399
2017-12-06,0.8186
2017-12-07,7.1042
2017-12-08,-2.4637000000000002
2017-12-11,-3.9508
2017-12-12,-0.1349
2017-12-13,0.4051
2017-12-14,-1.5467
2017-12-15,-2.0492
2017-12-18,0.3487
2017-12-19,-0.5559
2017-12-20,-0.0699
2017-12-21,2.5874
2017-12-22,0.8862
2017-12-26,-0.4054
2017-12-27,0.7463
2017-12-28,1.1448
2017-12-29,-3.4621
2018-01-02,-0.9655
2018-01-03,1.6713
2018-01-04,-1.5068000000000001
2018-01-05,1.8776000000000002
2018-01-08,3.8225
2018-01-09,-0.6575
2018-01-10,3.3752
2018-01-11,3.009
2018-01-12,2.2374
2018-01-16,-5.5319
2018-01-17,3.6036
2018-01-18,-2.2981
2018-01-19,0.3179
2018-01-22,2.1546
2018-01-23,5.5211
2018-01-24,2.1164
2018-01-25,-1.8423
2018-01-26,2.5806
2018-01-29,-0.4002
2018-01-30,-2.8703
2018-01-31,-1.1229
2018-02-01,-5.1405
2018-02-02,-4.2218
2018-02-05,-0.0658
2018-02-06,3.0941
2018-02-07,1.9796
2018-02-08,-5.2599
2018-02-09,3.503
2018-02-12,-1.341
2018-02-13,2.7832
2018-02-14,0.8816
2018-02-15,0.4994
2018-02-16,1.2422
2018-02-20,7.0552
2018-02-21,2.6934
2018-02-22,11.4397
2018-02-23,2.2534
2018-02-26,1.3712
2018-02-27,0.7246
2018-02-28,0.8153
2018-03-01,3.1399
2018-03-02,5.6734
2018-03-05,-1.5714000000000001
2018-03-06,2.3503
2018-03-07,-5.156
2018-03-08,5.0251
2018-03-09,-0.7829
2018-03-12,-3.7702999999999998
2018-03-13,1.2301
2018-03-14,-1.2601
2018-03-15,-1.5497
2018-03-16,2.4074
2018-03-19,-7.2333
2018-03-20,2.8752
2018-03-21,0.7106
2018-03-22,-0.2352
2018-03-23,-5.6577
2018-03-26,5.3972999999999995
2018-03-27,-4.5045
2018-03-28,-0.7944
2018-03-29,3.5536
2018-04-02,-3.5766
2018-04-03,4.3108
2018-04-04,-1.9222000000000001
2018-04-05,2.3518
2018-04-06,-2.3935
2018-04-09,0.1471
2018-04-10,2.0078
