ticker,RBCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-16,25.0
2007-11-19,4.8571
2007-11-20,5.5041
2007-11-21,-1.9628
2007-11-23,0.0527
2007-11-26,-2.6856
2007-11-27,-4.6537
2007-11-28,3.916
2007-11-29,0.7045
2007-11-30,0.3308
2007-12-03,0.7027
2007-12-04,-2.8986
2007-12-05,0.8292
2007-12-06,-0.4934
2007-12-07,-3.0303
2007-12-10,4.5881
2007-12-11,0.1766
2007-12-12,-0.2169
2007-12-13,0.4891
2007-12-14,2.9746
2007-12-17,2.1534
2007-12-18,0.9254
2007-12-19,-2.8528000000000002
2007-12-20,-4.0378
2007-12-21,-3.6612
2007-12-24,11.401
2007-12-26,11.8126
2007-12-27,6.9672
2007-12-28,3.1503
2007-12-31,-1.9809999999999999
2008-01-02,-7.4947
2008-01-03,-0.6372
2008-01-04,-3.8937
2008-01-07,-1.5253
2008-01-08,4.0658
2008-01-09,6.7442
2008-01-10,2.963
2008-01-11,-4.5705
2008-01-14,0.0887
2008-01-15,6.2915
2008-01-16,-4.7103
2008-01-17,-4.4182
2008-01-18,2.5172
2008-01-22,-4.5089
2008-01-23,-1.5428
2008-01-24,0.9972
2008-01-25,5.7828
2008-01-28,3.1111
2008-01-29,6.4655000000000005
2008-01-30,-0.8097
2008-01-31,-3.4694
2008-02-01,2.6638
2008-02-04,0.7002
2008-02-05,-0.3272
2008-02-06,-2.2979
2008-02-07,9.2398
2008-02-08,1.1918
2008-02-11,-3.1155
2008-02-12,-6.902
2008-02-13,0.5055
2008-02-14,9.3881
2008-02-15,0.8812
2008-02-19,6.3046
2008-02-20,-1.5363
2008-02-21,-0.4898
2008-02-22,-0.1641
2008-02-25,0.5844
2008-02-26,1.1619
2008-02-27,2.4408
2008-02-28,1.5767
2008-02-29,1.4487999999999999
2008-03-03,0.8501
2008-03-04,-1.416
2008-03-05,1.2312
2008-03-06,-3.8514
2008-03-07,-1.1595
2008-03-10,-7.7853
2008-03-11,11.7965
2008-03-12,-3.5517
2008-03-13,-0.3575
2008-03-14,-0.2153
2008-03-17,-3.2721999999999998
2008-03-18,4.1636
2008-03-19,-2.8908
2008-03-20,4.4836
2008-03-24,3.5174
2008-03-25,6.524
2008-03-26,1.8500999999999999
2008-03-27,2.2549
2008-03-28,-7.6263
2008-03-31,-3.9125
2008-04-01,3.8643
2008-04-02,-0.6973
2008-04-03,-3.8474
2008-04-04,-1.9832999999999998
2008-04-07,-2.3074
2008-04-08,-0.4365
