ticker,SFUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-17,72.9412
2010-09-20,-9.1156
2010-09-21,1.9012
2010-09-22,-1.851
2010-09-23,0.4041
2010-09-24,3.8462
2010-09-27,-3.5027
2010-09-28,-3.2996
2010-09-29,-5.9875
2010-09-30,6.6601
2010-10-01,0.5523
2010-10-04,-3.4025
2010-10-05,4.2489
2010-10-06,0.4545
2010-10-07,-2.6848
2010-10-08,-0.5425
2010-10-11,-1.2155
2010-10-12,1.1516
2010-10-13,8.7492
2010-10-14,9.9383
2010-10-15,-1.7348
2010-10-18,-3.3853
2010-10-19,-1.8824
2010-10-20,-1.9605000000000001
2010-10-21,1.4141
2010-10-22,12.5493
2010-10-25,0.2753
2010-10-26,-2.1715
2010-10-27,-5.3451
2010-10-28,-1.6173
2010-10-29,0.6849
2010-11-01,-0.1497
2010-11-02,0.1499
2010-11-03,4.7617
2010-11-04,-0.5713
2010-11-05,0.8229
2010-11-08,7.5269
2010-11-09,0.9277
2010-11-10,9.6455
2010-11-11,2.9069000000000003
2010-11-12,-5.9141
2010-11-15,-6.477
2010-11-16,-7.7792
2010-11-17,-0.8866
2010-11-18,-0.2894
2010-11-19,1.2797
2010-11-22,-0.2475
2010-11-23,-0.7574
2010-11-24,-1.3158
2010-11-26,2.0
2010-11-29,-0.0784
2010-11-30,-3.6892
2010-12-01,-0.8693
2010-12-02,3.9984
2010-12-03,-2.2818
2010-12-06,2.7422
2010-12-07,2.3753
2010-12-08,-3.3714
2010-12-09,-4.8819
2010-12-10,1.8131
2010-12-13,-2.8904
2010-12-14,-4.3589
2010-12-15,1.4307
2010-12-16,0.3926
2010-12-17,5.0261
2010-12-20,0.0
2010-12-21,0.0414
2010-12-22,2.9087
2010-12-23,0.8707
2010-12-27,-8.0372
2010-12-28,-3.4050000000000002
2010-12-29,-0.1048
2010-12-30,2.7237
2010-12-31,4.1958
2011-01-03,1.3285
2011-01-04,0.0274
2011-01-05,-0.6622
2011-01-06,-0.5694
2011-01-07,-1.6480000000000001
2011-01-10,-0.8662
2011-01-11,2.8219
2011-01-12,9.6824
2011-01-13,1.2575
2011-01-14,0.9784
2011-01-18,3.0311
2011-01-19,-0.217
2011-01-20,-2.1266
2011-01-21,1.0
2011-01-24,-1.4424000000000001
2011-01-25,3.3114
2011-01-26,-6.3505
2011-01-27,0.1026
2011-01-28,-2.5355
2011-01-31,1.7606000000000002
2011-02-01,4.0413
2011-02-02,-1.6503999999999999
2011-02-03,1.3121
