ticker,AGTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-27,23.0
2014-03-28,-1.4228
2014-03-31,3.0928
2014-04-01,4.0667
2014-04-02,4.7406
2014-04-03,-0.3058
2014-04-04,-1.3497
2014-04-07,-12.3756
2014-04-08,5.3229
2014-04-09,-0.8086
2014-04-10,-2.038
2014-04-11,-7.4202
2014-04-14,1.1236
2014-04-15,-5.5556
2014-04-16,7.0588
2014-04-17,3.1502
2014-04-21,-5.3977
2014-04-22,1.7267000000000001
2014-04-23,-4.2066
2014-04-24,-2.0031
2014-04-25,0.9434
2014-04-28,-0.7788
2014-04-29,1.2559
2014-04-30,-2.8682
2014-05-01,0.399
2014-05-02,-2.2258
2014-05-05,0.9756
2014-05-06,-3.5427
2014-05-07,2.7546
2014-05-08,-8.0422
2014-05-09,6.8905
2014-05-12,-1.5702
2014-05-13,2.4349
2014-05-14,4.0984
2014-05-15,-0.0787
2014-05-16,3.2309
2014-05-19,1.2214
2014-05-20,-1.6591
2014-05-21,-4.1411
2014-05-22,2.96
2014-05-23,2.5641
2014-05-27,1.4394
2014-05-28,-0.2987
2014-05-29,1.1236
2014-05-30,1.4815
2014-06-02,44.0876
2014-06-03,1.4691
2014-06-04,0.3994
2014-06-05,10.1939
2014-06-06,-3.3394
2014-06-09,11.4379
2014-06-10,5.9489
2014-06-11,-4.9031
2014-06-12,7.5676
2014-06-13,6.2621
2014-06-16,-0.1819
2014-06-17,8.8557
2014-06-18,6.0931
2014-06-19,-2.3351
2014-06-20,-1.5832000000000002
2014-06-23,2.6592000000000002
2014-06-24,-0.4797
2014-06-25,-1.5103
2014-06-26,-7.9608
2014-06-27,-10.7409
2014-06-30,-8.2605
2014-07-01,-2.6407
2014-07-02,7.4254999999999995
2014-07-03,-1.6141999999999999
2014-07-07,-2.6925
2014-07-08,-3.9343
2014-07-09,-3.8254
2014-07-10,-7.7679
2014-07-11,-3.2471
2014-07-14,-1.4683
2014-07-15,-7.9297
2014-07-16,3.5838
2014-07-17,-0.1116
2014-07-18,3.4637000000000002
2014-07-21,-7.9914
2014-07-22,5.9859
2014-07-23,-7.5305
2014-07-24,-6.5269
2014-07-25,15.2466
2014-07-28,-7.8377
2014-07-29,-1.7490999999999999
2014-07-30,3.5605
2014-07-31,-5.1571
2014-08-01,-6.6875
2014-08-04,5.0904
2014-08-05,7.7119
2014-08-06,0.2959
2014-08-07,-1.7699
2014-08-08,5.9459
2014-08-11,18.9342
2014-08-12,-8.103
2014-08-13,-0.3631
