ticker,CAFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-15,-5.8824
2010-04-21,-6.25
2010-04-28,-62.6667
2010-04-29,-12.857099999999999
2010-04-30,-17.2131
2010-05-03,-10.8911
2010-05-05,-33.3333
2010-05-06,0.0
2010-05-07,68.3333
2010-05-10,5.9406
2010-05-11,-1.8692
2010-05-12,2.8571
2010-05-13,-2.7778
2010-05-14,4.7619
2010-05-17,0.0
2010-05-19,-6.3636
2010-05-20,1.9417
2010-05-25,-5.7143
2010-05-26,1.0101
2010-05-27,5.0
2010-05-28,-2.8571
2010-06-01,-2.9412000000000003
2010-06-02,0.0
2010-06-03,0.0
2010-06-04,6.0606
2010-06-08,-10.4762
2010-06-09,0.0
2010-06-10,3.1915
2010-06-14,-3.0928
2010-06-15,0.0
2010-06-17,-29.7872
2010-06-18,43.9394
2010-06-21,-1.0526
2010-06-22,-1.0638
2010-06-24,-4.3011
2010-06-28,-15.7303
2010-06-29,20.0
2010-06-30,-5.5556
2010-07-01,11.7647
2010-07-06,-5.2632
2010-07-07,-4.4444
2010-07-12,-12.7907
2010-07-15,5.3333
2010-07-19,-17.7215
2010-07-20,-38.4615
2010-07-21,50.0
2010-07-23,0.0
2010-07-26,0.0
2010-07-27,-3.3333
2010-07-29,-13.7931
2010-08-03,-36.0
2010-08-04,103.125
2010-08-05,0.0
2010-08-11,0.0
2010-08-12,-1.5385
2010-08-13,1.5625
2010-08-16,0.0
2010-08-19,-16.9231
2010-08-25,14.8148
2010-08-30,-19.3548
2010-09-17,0.0
2010-09-24,-48.0
2010-09-28,73.0769
2010-10-06,-31.1111
2010-10-08,54.8387
2010-10-15,4.1667
2010-10-18,-10.0
2010-10-27,11.1111
2010-10-28,-14.0
2010-10-29,11.6279
2010-11-02,0.0
2010-11-03,-27.0833
2010-11-04,2.8571
2010-11-08,-30.5556
2010-11-09,0.0
2010-11-10,40.0
2010-11-11,-42.8571
2010-11-12,50.0
2010-11-15,-40.0
2010-11-17,-11.1806
2010-11-18,-36.8256
2010-11-22,0.0
2010-11-23,0.0
2010-11-26,-10.8911
2010-11-29,0.0
2010-11-30,-10.9722
2010-12-02,124.649
2010-12-03,-15.5556
2010-12-06,97.3684
2010-12-07,0.0
2010-12-08,-33.3333
2010-12-09,-5.0
2010-12-10,5.2632
2010-12-13,-5.0
2010-12-14,0.0
2010-12-15,-15.8553
2010-12-16,-6.1767
2010-12-17,-19.3333
2010-12-27,7.438
2011-01-04,-30.7692
2011-01-11,111.1111
