ticker,CBCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-20,-2.1277
2009-07-06,31.6945
2012-02-21,11.2823
2012-03-01,0.0
2012-06-27,0.185
2012-08-08,0.0
2012-09-28,0.185
2012-10-15,-23.0769
2012-11-07,32.0
2012-11-19,-23.9659
2012-11-20,0.0
2013-01-09,25.0
2013-01-14,5.0
2013-01-29,4.7619
2013-04-04,4.7422
2013-08-22,-1.0937999999999999
2013-08-29,-1.4706000000000001
2013-09-17,-2.9851
2013-10-21,3.0769
2013-11-01,0.0
2013-11-18,0.0
2013-12-13,0.3715
2014-01-22,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-25,0.1914
2014-02-27,0.0
2014-03-18,0.0
2014-03-24,0.0
2014-03-28,0.0
2014-04-01,0.0
2014-04-15,0.0
2014-05-15,0.1914
2014-07-11,0.7463
2014-07-29,-0.7407
2014-09-23,0.1914
2014-10-08,1.4925
2014-11-25,0.3779
2015-01-05,0.0
2015-01-09,0.0
2015-02-19,1.6646999999999998
2015-03-03,0.0
2015-04-30,0.0
2015-05-27,0.1917
2015-06-25,1.4493
2015-06-26,3.0
2015-07-14,0.4161
2015-11-10,-0.3708
2015-12-02,3.3791
2015-12-09,2.6969
2016-02-24,1.3655
2017-04-03,4.5948
2017-06-30,11.0831
2018-06-27,25.345
2018-07-19,0.9174
2018-09-07,0.9091
2018-10-29,8.1081
2018-12-10,-6.9962
2019-01-07,3.6036
2019-01-30,47.8261
2019-04-25,-23.3942
2019-04-30,0.0
2019-06-14,0.2313
2019-07-03,0.0
2019-07-22,0.0
2020-04-02,-0.4433
2020-04-03,-0.7813
2020-04-22,0.0
2020-05-15,2.8898
2020-06-17,-2.5625
2020-06-30,0.0
