ticker,NUSMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,12.5
2000-01-05,44.4444
2000-02-14,53.8462
2000-03-06,110.0
2000-03-21,-28.5714
2000-05-23,-6.6667
2000-07-12,-7.1429
2000-07-26,-7.6923
2000-07-27,-4.1667
2000-09-01,39.1304
2000-09-05,0.0
2000-09-11,6.25
2000-10-02,-23.5294
2000-10-05,-15.3846
2000-11-17,-54.5455
2000-12-07,-40.0
2000-12-22,0.0
2000-12-25,0.0
2000-12-28,33.3333
2001-02-02,75.0
2001-02-07,-42.8571
2001-05-31,106.25
2001-06-04,1.8182
2001-06-05,7.1429
2001-06-27,11.1111
2001-06-29,-25.0
2001-07-06,33.3333
2001-07-19,-20.0
2001-08-07,-12.5
2001-08-13,-28.5714
2001-08-15,0.0
2001-10-05,-40.0
2001-12-17,-33.3333
2001-12-18,-95.0
2002-02-07,1900.0
2002-04-15,21.1563
2002-06-27,40.3147
2002-07-26,-27.9412
2002-09-24,12.2449
2002-09-30,-1.8182
2002-10-04,18.1481
2002-10-08,-5.9561
2002-10-09,0.0
2002-10-30,-1.6667
2002-11-26,-1.6949
2003-06-04,-13.7931
2003-06-11,12.0
2003-06-26,-1.7856999999999998
2003-08-19,-10.9091
2003-08-28,3.2653
2003-10-08,-26.8775
2003-11-26,67.5676
2003-12-01,-16.7742
2004-06-09,-30.2326
2004-09-10,-33.3333
2004-09-24,70.8333
2004-09-29,19.5122
2004-10-15,2.0408
2004-11-16,4.0
2004-12-01,0.0
2004-12-16,-2.8846
2004-12-29,-48.5149
2005-01-04,84.6154
2005-01-25,-8.3333
2005-02-08,-2.2727
2005-02-10,-20.9302
2005-03-31,11.7647
2005-04-08,10.526299999999999
2005-06-09,-53.8095
2006-05-10,2915.4639
2006-05-11,-79.6581
2006-05-12,14.2857
2006-05-15,-3.9782
2006-05-16,4.0154
2006-05-17,-6.8712
2006-05-18,-5.4018
2006-05-19,-6.4067
2006-05-23,-6.1607
2006-05-25,-4.2182
2006-05-30,-7.947
2006-06-01,-7.1942
2006-06-02,-3.6822
2006-06-05,-0.2012
2006-06-13,-8.9516
2006-06-16,6.2888
2006-06-19,-15.0
2006-06-22,0.3922
2006-06-23,-3.9063
2006-06-27,-0.813
2006-06-28,0.9221
2006-06-29,-8.5279
2006-06-30,1.3527
2006-07-05,0.746
2006-07-06,-1.087
2006-07-10,0.4945
2006-07-11,18.9004
2006-07-12,0.2443
2006-07-17,-6.422
2006-07-26,-12.2549
