ticker,ATCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-01,92.3077
2008-12-02,44.0
2008-12-03,41.6667
2008-12-08,32.3529
2008-12-10,3.7037
2008-12-11,-1.0714
2008-12-24,1.083
2008-12-26,0.0
2009-02-09,3.5714
2009-02-13,-3.4483
2009-02-19,5.0
2009-02-20,0.0
2009-02-24,0.0
2009-02-25,-4.7619
2009-02-26,15.7143
2009-03-02,0.0
2009-03-10,6.7901
2009-03-24,1.1561
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-30,-1.1429
2009-04-09,1.1561
2009-04-14,0.0
2009-04-15,-5.7143
2009-04-17,-0.6061
2009-04-27,0.0
2009-04-28,0.0
2009-04-30,0.6098
2009-05-05,3.0303
2009-05-07,-14.7059
2009-05-12,17.2414
2009-06-03,1.7647
2009-06-04,0.0
2009-06-09,0.0
2009-06-11,0.0
2009-06-15,4.0462
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,-3.8889
2009-06-22,0.0
2009-06-24,-21.9653
2009-06-25,28.1481
2009-06-26,-0.578
2009-06-29,0.5814
2009-07-02,1.1561
2009-07-06,-1.1429
2009-07-09,0.0
2009-07-10,0.0
2009-07-13,1.1561
2009-07-16,0.0
2009-07-17,-1.1429
2009-07-20,0.0
2009-07-23,0.0
2009-07-24,0.0
2009-07-31,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-07,4.0462
2009-08-10,0.0
2009-08-17,-2.7778
2009-08-19,-2.8571
2009-08-20,0.0
2009-08-24,0.0
2009-08-25,0.0
2009-08-27,0.5882
2009-08-28,-6.4327
2009-09-02,9.375
2009-09-08,-22.8571
2009-09-14,-14.8148
2009-09-16,51.3043
2009-10-06,-41.954
2009-10-07,23.7624
2009-10-08,20.0
2009-10-09,13.3333
2009-10-15,1.7647
2009-10-16,1.1561
2009-10-26,0.0
2009-10-27,0.0
2009-10-28,-1.1429
2009-11-06,-41.6185
2009-11-09,67.3267
2009-11-12,0.0
2009-11-20,-40.2367
2009-12-07,-64.3564
2009-12-15,66.6667
2009-12-17,-15.0
2010-01-15,0.0
2010-02-08,-50.9804
2010-03-11,0.0
2010-03-18,-60.0
2010-03-22,50.0
2010-03-24,-66.6667
2010-07-22,-76.0
2010-09-09,733.3333
2010-09-14,160.0
2010-10-07,-95.5769
2010-10-21,73.913
2010-11-05,700.0
2010-11-18,6.25
2010-11-19,0.0
2010-11-22,-41.1765
2010-11-23,0.0
2010-11-24,90.0
2010-11-26,66.8421
