ticker,RXN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-29,11.1111
2012-03-30,5.5
2012-04-02,2.9858000000000002
2012-04-03,-0.8283
2012-04-04,-0.0928
2012-04-05,0.1393
2012-04-09,-0.4638
2012-04-10,-0.0466
2012-04-11,0.6993
2012-04-12,0.8796
2012-04-13,-1.1473
2012-04-16,0.0464
2012-04-17,0.4176
2012-04-18,1.0166
2012-04-19,-1.1894
2012-04-20,-0.6944
2012-04-23,-0.2331
2012-04-24,0.6542
2012-04-25,0.0
2012-04-26,-0.0464
2012-04-27,0.3716
2012-04-30,2.1749
2012-05-01,-0.3623
2012-05-02,0.1364
2012-05-03,-1.044
2012-05-04,-0.7798
2012-05-07,1.8031000000000001
2012-05-08,-1.4078
2012-05-09,-1.1515
2012-05-10,1.3048
2012-05-11,1.3338999999999999
2012-05-14,-2.3604
2012-05-15,-5.5788
2012-05-16,-1.6248
2012-05-17,-0.2002
2012-05-18,-2.9589
2012-05-21,1.7570999999999999
2012-05-22,0.5079
2012-05-23,-0.3032
2012-05-24,0.5575
2012-05-25,3.8810000000000002
2012-05-29,-0.3396
2012-05-30,-0.6816
2012-05-31,-2.9412000000000003
2012-06-01,-3.9899
2012-06-04,0.9995
2012-06-05,-0.5208
2012-06-06,2.9843
2012-06-07,1.6777
2012-06-08,1.55
2012-06-11,-1.9202
2012-06-12,0.1506
2012-06-13,-2.5564
2012-06-14,0.9774
2012-06-15,-0.6623
2012-06-18,4.7179
2012-06-19,-2.1548
2012-06-20,0.1001
2012-06-21,0.45
2012-06-22,-1.1945999999999999
2012-06-25,-3.4761
2012-06-26,2.9228
2012-06-27,0.0
2012-06-28,-2.4341
2012-06-29,4.158
2012-07-02,1.4969999999999999
2012-07-03,2.3599
2012-07-05,1.585
2012-07-06,-3.2624
2012-07-09,-2.6882
2012-07-10,-1.7579
2012-07-11,-1.2781
2012-07-12,-0.2071
2012-07-13,0.9341
2012-07-16,1.0283
2012-07-17,1.883
2012-07-18,0.4496
2012-07-19,-0.9448
2012-07-20,-3.012
2012-07-23,-1.3975
2012-07-24,-0.2625
2012-07-25,1.3158
2012-07-26,-1.1429
2012-07-27,3.3631
2012-07-30,-2.5419
2012-07-31,1.1998
2012-08-01,-0.7216
2012-08-02,-17.9128
2012-08-03,-2.0873
2012-08-06,0.0646
2012-08-07,0.0646
2012-08-08,0.5161
2012-08-09,-0.2567
2012-08-10,-0.0644
2012-08-13,-0.9659
2012-08-14,-2.0806
2012-08-15,2.5232
