ticker,SCBH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-02-20,0.0
2004-04-30,9.0909
2004-06-25,8.3333
2004-07-02,-1.9231
2004-07-07,1.9607999999999999
2004-07-08,0.0
2004-07-20,-3.8462
2004-08-10,-3.2
2004-08-16,-0.8264
2004-08-20,6.25
2004-08-24,-5.098
2004-08-25,7.438
2004-08-26,-13.461500000000001
2004-08-30,0.0
2004-08-31,15.5556
2004-09-08,-17.3077
2004-09-22,18.6047
2004-10-04,-15.6863
2004-10-08,-2.3256
2004-10-19,4.7619
2004-10-20,2.7273
2004-10-28,10.6195
2004-11-18,-16.8
2004-11-22,0.9615
2004-12-08,19.0476
2004-12-14,-12.0
2004-12-16,0.0
2004-12-17,0.0909
2004-12-23,0.8174
2004-12-27,-0.9009
2004-12-29,13.6364
2005-01-06,-8.0
2005-01-13,-4.3478
2005-01-27,0.9091
2005-01-31,0.0
2005-02-08,0.6847
2005-02-14,5.136
2005-02-22,-4.0851
2005-02-24,0.2662
2005-02-25,10.6195
2005-03-01,-12.0
2005-03-04,9.0909
2005-03-07,-6.25
2005-03-24,-1.3333
2005-03-31,8.1081
2005-04-25,-8.3333
2005-04-26,9.0909
2005-04-29,-8.3333
2005-05-05,0.0
2005-05-06,18.1818
2005-05-09,-16.9231
2005-05-12,6.4815
2005-05-13,-4.3478
2005-05-20,-3.5455
2005-05-27,3.6757999999999997
2005-06-10,0.0
2005-06-13,0.0
2005-06-14,4.5455
2005-06-15,0.0
2005-06-16,-1.3043
2005-06-17,0.0
2005-06-27,-0.4405
2005-06-28,0.4425
2005-06-29,-0.4405
2005-06-30,0.0
2005-07-06,-0.4425
2005-07-14,-2.2222
2005-07-20,-4.5455
2005-07-22,0.0
2005-07-28,8.0952
2005-08-01,-7.0485
2005-08-03,-0.4739
2005-08-04,0.4762
2005-08-05,0.0
2005-08-09,0.0
2005-08-10,0.0
2005-08-11,0.0
2005-08-15,0.0
2005-08-16,-0.9479
2005-08-17,0.2871
2005-08-18,-0.0954
2005-08-29,0.191
2005-08-30,0.0
2005-09-12,-0.3813
2005-09-13,-3.8278
2005-09-15,3.9801
2005-10-03,-3.3493
2005-10-05,3.4653
2005-10-07,-3.8278
2005-10-11,0.4975
2005-10-12,-3.4653
2005-10-13,0.0
2005-10-14,2.5641
2005-10-28,0.0
2005-10-31,1.0
2005-11-01,-0.495
2005-11-02,0.4975
2005-11-03,0.0
2005-11-04,-0.099
2005-11-07,-0.2973
2005-11-09,0.0
