ticker,IGOI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-30,8.3333
2000-07-03,5.2885
2000-07-05,-4.1096
2000-07-06,0.4762
2000-07-07,-3.3175
2000-07-10,13.7255
2000-07-11,-6.8966
2000-07-12,-2.7778
2000-07-13,-3.8095
2000-07-14,5.9406
2000-07-17,1.4019
2000-07-18,-1.3825
2000-07-19,9.3458
2000-07-20,9.8291
2000-07-21,-2.7237
2000-07-24,-11.2
2000-07-25,0.0
2000-07-26,0.0
2000-07-27,-7.3198
2000-07-28,-22.4787
2000-07-31,-8.4639
2000-08-01,-2.7397
2000-08-02,-9.8592
2000-08-03,3.9063
2000-08-04,15.7895
2000-08-07,2.5974
2000-08-08,7.5949
2000-08-09,0.5882
2000-08-10,-6.4327
2000-08-11,-0.625
2000-08-14,-8.1761
2000-08-15,-6.1644
2000-08-16,-1.4599
2000-08-17,8.1481
2000-08-18,6.8493
2000-08-21,1.2821
2000-08-22,2.5316
2000-08-23,9.8765
2000-08-24,1.6854
2000-08-25,-1.6575
2000-08-28,4.4944
2000-08-29,-0.5376
2000-08-30,2.1622
2000-08-31,-0.5291
2000-09-01,11.7021
2000-09-05,1.4285999999999999
2000-09-06,-0.939
2000-09-07,-4.2654
2000-09-08,-2.9703
2000-09-11,-9.6939
2000-09-12,-0.565
2000-09-13,0.0
2000-09-14,-3.9773
2000-09-15,-2.3669000000000002
2000-09-18,-1.8182
2000-09-19,-1.2346
2000-09-20,1.875
2000-09-21,-1.8405
2000-09-22,-0.625
2000-09-25,1.2579
2000-09-26,-4.3478
2000-09-27,-2.5974
2000-09-28,-3.3333
2000-09-29,0.6897
2000-10-02,0.0
2000-10-03,-5.4795
2000-10-04,-4.3478
2000-10-05,8.3333
2000-10-06,11.1888
2000-10-09,-6.9182
2000-10-10,-17.5676
2000-10-11,7.377
2000-10-12,-3.8167999999999997
2000-10-13,0.0
2000-10-16,-6.3492
2000-10-17,-5.0847
2000-10-18,-17.8571
2000-10-19,29.3478
2000-10-20,9.2437
2000-10-23,1.5385
2000-10-24,-1.5152
2000-10-25,0.0
2000-10-26,-4.6154
2000-10-27,-3.2258
2000-10-30,-2.5
2000-10-31,-0.8547
2000-11-01,-6.8966
2000-11-02,0.0
2000-11-03,7.4074
2000-11-06,-6.8966
2000-11-07,-0.9259
2000-11-08,-5.6075
2000-11-09,-4.9505
2000-11-10,-45.8333
2000-11-13,11.538499999999999
2000-11-14,-1.7241
2000-11-15,-5.2632
2000-11-16,5.5556
