ticker,PASG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-28,23.3333
2020-03-02,-3.1532
2020-03-03,-6.9767
2020-03-04,3.0
2020-03-05,-4.1262
2020-03-06,2.2785
2020-03-09,-9.4059
2020-03-10,4.6448
2020-03-11,-1.5144
2020-03-12,-10.9756
2020-03-13,-7.564
2020-03-16,-33.8273
2020-03-17,2.3369
2020-03-18,-15.699300000000001
2020-03-19,0.6772
2020-03-20,9.7534
2020-03-23,23.1869
2020-03-24,16.2521
2020-03-25,5.1355
2020-03-26,-7.5305
2020-03-27,-8.0704
2020-03-30,25.4589
2020-03-31,0.1908
2020-04-01,-5.3968
2020-04-02,1.8792
2020-04-03,-3.8867000000000003
2020-04-06,9.3215
2020-04-07,2.0063
2020-04-08,1.4136
2020-04-09,3.5152
2020-04-13,10.0703
2020-04-14,2.0745
2020-04-15,1.3549
2020-04-16,3.3933
2020-04-17,1.1934
2020-04-20,2.3587
2020-04-21,-7.4412
2020-04-22,0.3631
2020-04-23,-4.3928
2020-04-24,1.8919000000000001
2020-04-27,-2.122
2020-04-28,-0.5962
2020-04-29,0.0
2020-04-30,-9.7601
2020-05-01,8.0967
2020-05-04,3.6892
2020-05-05,2.4259
2020-05-06,0.2632
2020-05-07,-0.7349
2020-05-08,7.4564
2020-05-11,1.0827
2020-05-12,3.2619
2020-05-13,2.5460000000000003
2020-05-14,1.8391
2020-05-15,-3.7472
2020-05-18,0.3283
2020-05-19,-1.9167999999999998
2020-05-20,6.2917
2020-05-21,7.8027
2020-05-22,2.6206
2020-05-26,-0.4864
2020-05-27,-6.721
2020-05-28,0.4367
2020-05-29,-4.2174
2020-06-01,-0.4993
2020-06-02,9.2153
2020-06-03,1.9632
2020-06-04,5.4896
2020-06-05,-9.4757
2020-06-08,2.7456
2020-06-09,3.8413
2020-06-10,0.5227
2020-06-11,-7.64
2020-06-12,6.5829
2020-06-15,9.711500000000001
2020-06-16,3.7037
2020-06-17,3.0357
2020-06-18,5.026
2020-06-19,11.2871
2020-06-22,6.3167
2020-06-23,0.6137
2020-06-24,-6.5706
2020-06-25,4.0356
2020-06-26,-18.9675
2020-06-29,-2.3231
2020-06-30,-1.5135
2020-07-01,-4.5737
2020-07-02,0.2684
2020-07-06,-3.2505
2020-07-07,-2.8063000000000002
2020-07-08,-0.5693
2020-07-09,-3.1902
2020-07-10,-4.4782
2020-07-13,0.3981
2020-07-14,-1.9383
2020-07-15,1.6622
2020-07-16,-6.2307
2020-07-17,-1.4138
2020-07-20,-5.4493
2020-07-21,-2.4772
2020-07-22,1.6071
2020-07-23,-2.449
2020-07-24,-11.1402
2020-07-27,11.536200000000001
2020-07-28,-1.4248
2020-07-29,-3.212
2020-07-30,-8.1858
2020-07-31,-5.7831
