ticker,TAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-20,50.0
2010-10-21,-1.6
2010-10-22,11.7886
2010-10-25,7.0909
2010-10-26,1.8676
2010-10-27,-2.7778
2010-10-28,1.1429
2010-10-29,0.565
2010-11-01,-6.4607
2010-11-02,-9.6179
2010-11-03,-0.1902
2010-11-04,-0.8655
2010-11-05,4.4325
2010-11-08,3.1511
2010-11-09,2.4314
2010-11-10,2.7389
2010-11-11,5.4502
2010-11-12,-3.7640000000000002
2010-11-15,-4.4367
2010-11-16,-5.3146
2010-11-17,2.4516
2010-11-18,1.7003
2010-11-19,-3.4675000000000002
2010-11-22,2.1167
2010-11-23,0.7538
2010-11-24,7.5436
2010-11-26,-2.3188
2010-11-29,-5.0445
2010-11-30,0.1875
2010-12-01,2.932
2010-12-02,1.3333
2010-12-03,-0.9569
2010-12-06,-2.8986
2010-12-07,-5.4104
2010-12-08,0.9204
2010-12-09,-1.6287
2010-12-10,-3.9735
2010-12-13,0.4138
2010-12-14,0.9615
2010-12-15,-0.8163
2010-12-16,2.0576
2010-12-17,-3.293
2010-12-20,-0.6949
2010-12-21,8.7474
2010-12-22,0.3861
2010-12-23,-0.4487
2010-12-27,1.4166
2010-12-28,0.3175
2010-12-29,-0.3165
2010-12-30,1.1429
2010-12-31,1.0672
2011-01-03,-1.7391
2011-01-04,0.0632
2011-01-05,0.4422
2011-01-06,1.195
2011-01-07,-0.3729
2011-01-10,-2.4329
2011-01-11,0.0639
2011-01-12,1.9808
2011-01-13,0.2506
2011-01-14,-0.0625
2011-01-18,0.0625
2011-01-19,0.875
2011-01-20,-3.2218
2011-01-21,-4.2254
2011-01-24,1.8717000000000001
2011-01-25,-14.4357
2011-01-26,-5.2914
2011-01-27,9.7166
2011-01-28,-3.6162
2011-01-31,-0.4594
2011-02-01,-0.0769
2011-02-02,0.077
2011-02-03,0.1538
2011-02-04,-0.0768
2011-02-07,-0.1537
2011-02-08,-0.2309
2011-02-09,-0.6944
2011-02-10,-0.3885
2011-02-11,-2.1061
2011-02-14,0.3187
2011-02-15,-1.112
2011-02-16,-3.2932
2011-02-17,-4.485
2011-02-18,3.4783
2011-02-22,-3.1933
2011-02-23,-3.0382
2011-02-24,-5.7296
2011-02-25,-0.3799
2011-02-28,-0.0953
2011-03-01,-1.3359
2011-03-02,-3.2882
2011-03-03,1.5
2011-03-04,-0.197
2011-03-07,2.1718
2011-03-08,2.4154999999999998
2011-03-09,9.434
2011-03-10,-5.1999
