ticker,NABA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-02,4.2553
2007-10-12,0.0
2008-01-03,6.1224
2008-01-04,-3.8462
2008-01-07,-2.0
2008-01-08,2.0408
2008-04-02,6.0
2008-04-29,0.0
2008-05-29,-3.7736
2008-06-12,-7.8431
2008-12-30,-73.4043
2008-12-31,140.0
2009-01-07,-41.6667
2009-01-23,71.4286
2009-07-23,-74.6667
2009-07-27,18.4211
2009-07-28,33.3333
2009-07-31,6.6667
2009-12-30,-6.25
2009-12-31,100.0
2010-06-21,-41.6667
2010-06-28,78.5714
2010-07-30,0.0
2010-08-02,-56.0
2010-10-22,-9.0909
2010-12-20,0.0
2012-04-18,-78.0
2012-11-02,81.8182
2012-12-14,50.0
2012-12-21,-16.6667
2012-12-26,-8.0
2012-12-31,17.3913
2013-01-03,-7.4074
2013-01-04,20.0
2013-01-15,-16.6667
2013-01-31,0.0
2013-02-08,20.0
2013-02-15,-16.6667
2013-02-28,20.0
2013-03-19,-16.6667
2013-03-28,20.0
2013-04-24,6.6667
2013-05-30,40.625
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,-8.8889
2013-06-11,2.439
2013-06-14,-4.7619
2013-06-17,0.0
2013-06-28,7.5
2013-07-01,0.0
2013-07-10,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-30,0.0
2013-09-05,-18.6047
2013-09-30,14.2857
2013-11-18,-5.0
2013-12-16,0.0
2014-10-30,2.6316
2015-09-02,156.4103
2015-11-12,600.0
