ticker,LOCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-25,60.2
2014-07-28,43.4873
2014-07-29,-13.2831
2014-07-30,15.5953
2014-07-31,12.1141
2014-08-01,6.3225999999999996
2014-08-04,-6.7961
2014-08-05,-10.651
2014-08-06,7.6945
2014-08-07,5.1908
2014-08-08,-4.9347
2014-08-11,-3.1394
2014-08-12,-4.8058
2014-08-13,-2.2307
2014-08-14,-4.1068999999999996
2014-08-15,4.4393
2014-08-18,-0.4796
2014-08-19,-9.9096
2014-08-20,0.9361
2014-08-21,-1.06
2014-08-22,2.5109
2014-08-25,5.1274
2014-08-26,-1.9261
2014-08-27,-0.095
2014-08-28,0.3488
2014-08-29,2.0853
2014-09-02,11.4825
2014-09-03,-4.5253
2014-09-04,1.1631
2014-09-05,4.1679
2014-09-08,-0.138
2014-09-09,-1.1053
2014-09-10,1.2852999999999999
2014-09-11,1.0759
2014-09-12,6.0862
2014-09-15,-4.8624
2014-09-16,-0.5949
2014-09-17,0.2176
2014-09-18,-3.3931
2014-09-19,-0.5058
2014-09-22,-0.9602
2014-09-23,-0.3422
2014-09-24,2.2031
2014-09-25,-1.7637
2014-09-26,0.1995
2014-09-29,0.9386
2014-09-30,1.1834
2014-10-01,-5.1239
2014-10-02,2.9058
2014-10-03,2.2818
2014-10-06,4.155
2014-10-07,-0.4016
2014-10-08,1.0215
2014-10-09,-3.273
2014-10-10,-2.1183
2014-10-13,-3.7943
2014-10-14,0.1461
2014-10-15,-2.0712
2014-10-16,-0.3575
2014-10-17,1.6442
2014-10-20,3.1176
2014-10-21,-1.6543
2014-10-22,-0.6961
2014-10-23,1.3435000000000001
2014-10-24,-0.2017
2014-10-27,-1.1839
2014-10-28,6.429
2014-10-29,0.7963
2014-10-30,-0.1907
2014-10-31,-2.702
2014-11-03,0.1403
2014-11-04,1.3725
2014-11-05,0.4421
2014-11-06,2.6135
2014-11-07,-1.8767
2014-11-10,-0.0273
2014-11-11,-3.7442
2014-11-12,0.7666
2014-11-13,-2.7895
2014-11-14,-0.4928
2014-11-17,-4.7189
2014-11-18,-1.6509
2014-11-19,-7.9266
2014-11-20,-3.5787
2014-11-21,-1.4356
2014-11-24,3.2327
2014-11-25,0.2753
2014-11-26,-4.0494
2014-11-28,-1.9313
2014-12-01,-5.6528
2014-12-02,-0.8504
2014-12-03,1.3255
2014-12-04,-2.1932
2014-12-05,-1.3769
2014-12-08,-5.3849
2014-12-09,1.855
2014-12-10,-4.5116
2014-12-11,-3.4244
