ticker,MTB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8558
2000-01-04,-3.2129
2000-01-05,0.4447
2000-01-06,1.1701
2000-01-07,1.7818
2000-01-10,0.0614
2000-01-11,-2.9466
2000-01-12,1.1701
2000-01-13,2.5946
2000-01-14,2.4375
2000-01-18,-0.0595
2000-01-19,-1.9048
2000-01-20,-0.7888
2000-01-21,0.7492
2000-01-24,-1.6543
2000-01-25,0.0
2000-01-26,3.5802
2000-01-27,0.1192
2000-01-28,-3.2143
2000-01-31,1.107
2000-02-01,-2.3114
2000-02-02,0.6227
2000-02-03,-0.9437
2000-02-04,1.2650000000000001
2000-02-07,-0.7403
2000-02-08,0.3108
2000-02-09,-0.5886
2000-02-10,-0.0312
2000-02-11,-0.2494
2000-02-14,0.0
2000-02-15,-2.0
2000-02-16,-0.8929
2000-02-17,-0.9653
2000-02-18,-2.2742
2000-02-22,-1.0638
2000-02-23,-1.0753
2000-02-24,0.4076
2000-02-25,-0.0507
2000-02-28,-0.1692
2000-02-29,0.4252
2000-03-01,0.2541
2000-03-02,0.0169
2000-03-03,0.0
2000-03-06,1.3514
2000-03-07,-1.8667
2000-03-08,-1.087
2000-03-09,1.2363
2000-03-10,1.4247
2000-03-13,2.0401
2000-03-14,0.59
2000-03-15,2.5741
2000-03-16,7.878
2000-03-17,5.904
2000-03-20,-2.5858
2000-03-21,-0.2141
2000-03-22,1.4874
2000-03-23,-1.1838
2000-03-24,2.3959
2000-03-27,-0.8357
2000-03-28,-0.618
2000-03-29,1.7241
2000-03-30,-1.4171
2000-03-31,0.6764
2000-04-03,4.3673
2000-04-04,-0.8315
2000-04-05,-1.5417999999999998
2000-04-06,0.2198
2000-04-07,-2.0833
2000-04-10,-1.5537999999999998
2000-04-11,4.1945
2000-04-12,0.4367
2000-04-13,1.6712
2000-04-14,-3.9957000000000003
2000-04-17,-3.118
2000-04-18,2.7586
2000-04-19,-2.335
2000-04-20,1.947
2000-04-24,0.2949
2000-04-25,1.1621
2000-04-26,-3.6677999999999997
2000-04-27,0.2299
2000-04-28,0.7454
2000-05-01,-0.2846
2000-05-02,-0.3425
2000-05-03,-2.205
2000-05-04,-0.1903
2000-05-05,3.2419000000000002
2000-05-08,-2.6286
2000-05-09,-1.4884
2000-05-10,-3.8661
2000-05-11,0.7088
2000-05-12,1.1322
2000-05-15,0.938
2000-05-16,-0.4796
2000-05-17,-3.3886
2000-05-18,1.0912
2000-05-19,-1.249
2000-05-22,2.4516
