ticker,GCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-05,17.0476
2014-02-06,13.0187
2014-02-07,0.7919
2014-02-10,1.2143
2014-02-11,-2.6112
2014-02-12,-1.087
2014-02-13,-7.1795
2014-02-14,1.026
2014-02-18,-3.75
2014-02-19,-1.5422
2014-02-20,0.5771
2014-02-21,-1.2295
2014-02-24,-0.9959
2014-02-25,5.5323
2014-02-26,4.0508
2014-02-27,1.5267
2014-02-28,8.2707
2014-03-03,2.1528
2014-03-04,1.6315
2014-03-05,-1.4047
2014-03-06,-1.289
2014-03-07,0.1375
2014-03-10,2.814
2014-03-11,-6.3418
2014-03-12,0.1426
2014-03-13,0.9253
2014-03-14,-3.4556
2014-03-17,3.7253
2014-03-18,4.2254
2014-03-19,0.2703
2014-03-20,0.7412
2014-03-21,0.8696
2014-03-24,-0.4642
2014-03-25,-0.4664
2014-03-26,-0.5355
2014-03-27,0.2692
2014-03-28,0.604
2014-03-31,0.2001
2014-04-01,4.5273
2014-04-02,-0.3185
2014-04-03,-0.5751
2014-04-04,-1.7351999999999999
2014-04-07,-1.2426
2014-04-08,0.7285
2014-04-09,0.4602
2014-04-10,0.0
2014-04-11,-2.2906
2014-04-14,-1.1386
2014-04-15,1.1518
2014-04-16,0.4689
2014-04-17,-1.2
2014-04-21,0.5398
2014-04-22,0.0
2014-04-23,-1.4094
2014-04-24,0.2723
2014-04-25,-2.1045
2014-04-28,-0.6241
2014-04-29,-2.4424
2014-04-30,2.0744
2014-05-01,-2.4527
2014-05-02,0.3592
2014-05-05,0.5011
2014-05-06,-0.5698
2014-05-07,-2.2206
2014-05-08,-0.2198
2014-05-09,-0.8811
2014-05-12,2.0
2014-05-13,1.3072
2014-05-14,-0.3584
2014-05-15,-1.295
2014-05-16,-0.5831
2014-05-19,-0.9531
2014-05-20,-0.074
2014-05-21,0.6667
2014-05-22,0.0736
2014-05-23,0.0
2014-05-27,1.1764999999999999
2014-05-28,1.5262
2014-05-29,0.0
2014-05-30,0.0
2014-06-02,0.0
2014-06-03,0.5727
2014-06-04,-0.2135
2014-06-05,3.2096999999999998
2014-06-06,0.8984
2014-06-09,0.2055
2014-06-10,-0.2734
2014-06-11,-0.6169
2014-06-12,-0.6207
2014-06-13,-1.1797
2014-06-16,-0.9831
2014-06-17,-0.4965
2014-06-18,-0.4989
2014-06-19,-1.0745
2014-06-20,-0.1448
2014-06-23,-2.7556000000000003
2014-06-24,-1.8643
2014-06-25,2.8875
2014-06-26,0.6647
