ticker,LDSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-22,0.0
2000-02-28,0.0
2000-04-03,5.8824
2000-06-01,-5.5556
2000-09-25,0.0
2000-10-18,0.0
2000-10-19,0.0
2000-10-25,0.0
2000-12-12,0.0
2000-12-13,0.0
2000-12-27,0.0
2001-01-16,0.0
2001-01-18,-26.4706
2001-03-21,0.0
2001-10-15,0.0
2001-11-30,-60.0
2001-12-03,150.0
2001-12-11,0.0
2002-01-23,0.0
2002-08-13,0.0
2002-09-13,0.0
2002-10-09,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-05-16,0.0
2003-05-19,-40.0
2003-05-20,-95.5556
2003-06-12,0.0
2003-07-31,-90.0
2004-05-10,0.0
2004-06-16,0.0
2004-08-23,900.0
2005-04-08,-98.75
2005-07-18,79900.0
2005-07-19,0.0
2005-07-21,-20.0
2005-08-24,87.5
2005-08-26,0.0
2005-09-14,0.0
2005-10-21,73.3333
2005-10-28,-3.8462
2005-11-03,20.0
2005-11-23,566.6667
2005-12-12,-85.0
2006-01-05,0.0
2006-01-19,-16.6667
2006-01-23,0.0
2006-02-10,40.0
2006-02-21,114.2857
2006-02-23,33.3333
2006-03-14,-30.0
2006-03-20,-28.5714
2006-03-31,102.0
2006-04-27,-15.8416
2006-06-01,-41.1765
2006-06-07,70.0
2006-06-09,0.0
2006-06-14,-62.3529
2006-06-22,165.625
2006-06-27,0.0
2006-06-28,47.0588
2006-06-30,-40.0
2006-07-19,13.3333
2006-08-14,18.8235
2006-08-22,-15.8416
2006-11-06,-40.0
2007-03-26,-1.9607999999999999
2007-05-03,0.0
2007-07-09,0.0
2007-07-27,102.0
2007-08-01,0.0
2007-08-02,0.0
2007-08-09,0.0
2007-08-13,63.3663
2007-08-14,81.8182
2007-08-15,16.6667
2007-08-16,0.0
2007-08-17,-1.4285999999999999
2007-08-20,0.0
2007-08-22,1.4493
2007-08-28,0.0
2007-09-13,0.0
2007-10-23,-64.2857
2007-10-24,76.8
2007-10-30,-43.4389
2007-11-01,59.2
2007-11-05,-12.0603
2007-11-12,-4.5714
2007-11-13,-40.7186
2007-11-14,0.0
2007-11-15,-44.4444
2007-11-16,29.0909
2007-11-20,0.0
2007-11-21,0.0
2007-11-26,146.4789
2007-11-29,-45.7143
2007-11-30,-21.0526
2007-12-04,0.0
2007-12-11,-8.0
2007-12-12,-27.5362
2007-12-13,-2.0
2007-12-14,2.0408
2007-12-17,10.0
2007-12-18,-54.5455
2007-12-19,100.0
