ticker,NWPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-10,0.0
2007-09-26,-25.0
2007-09-27,11.1111
2007-10-03,20.0
2007-10-04,-15.0
2007-10-05,0.0
2007-10-22,-21.5686
2007-10-30,27.5
2007-11-06,-1.9607999999999999
2007-11-07,-60.0
2007-11-08,155.0
2007-11-13,0.0
2007-11-20,-41.1765
2007-11-21,60.0
2007-11-27,-6.25
2007-12-03,-22.2222
2007-12-06,-14.2857
2007-12-10,-17.6667
2007-12-12,102.4291
2007-12-13,-60.0
2007-12-14,150.0
2007-12-21,0.0
2007-12-27,-50.0
2007-12-28,40.0
2007-12-31,-14.2857
2008-01-04,-33.3333
2008-01-07,0.0
2008-01-09,50.0
2008-01-10,10.0
2008-01-22,-69.697
2008-01-24,100.0
2008-01-29,-25.0
2008-01-30,20.0
2008-01-31,-44.4444
2008-02-01,90.0
2008-02-07,-26.3158
2008-02-11,-28.5714
2008-02-13,0.0
2008-02-19,-40.0
2008-02-20,50.0
2008-02-22,11.1111
2008-02-25,0.0
2008-02-28,0.0
2008-02-29,100.0
2008-03-04,25.0
2008-03-06,-20.0
2008-03-12,-25.0
2008-03-14,-33.3333
2008-03-17,-40.0
2008-03-18,166.6667
2008-03-19,25.0
2008-03-26,0.0
2008-03-28,-60.0
2008-04-01,87.5
2008-04-03,0.0
2008-04-10,0.0
2008-04-16,0.0
2008-04-18,-66.6667
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,0.0
2008-04-24,0.0
2008-04-25,0.0
2008-04-30,0.0
2008-05-01,0.0
2008-05-02,0.0
2008-05-05,-40.0
2008-05-06,33.3333
2008-05-07,25.0
2008-05-14,20.0
2008-05-15,16.6667
2008-05-16,0.0
2008-05-20,42.8571
2008-05-23,20.0
2008-06-11,-41.6667
2008-06-12,0.0
2008-06-18,0.0
2008-06-23,14.2857
2008-06-27,12.5
2008-06-30,0.0
2008-07-01,0.0
2008-07-02,-11.1111
2008-07-08,-25.0
2008-07-16,-33.3333
2008-07-17,75.0
2008-07-29,-21.4286
2008-08-04,-9.0909
2008-08-11,0.0
2008-08-15,0.0
2008-08-20,0.0
2008-08-21,100.0
2008-08-22,50.0
2008-08-25,0.0
2008-09-10,-33.3333
2008-10-09,-60.0
2008-10-10,125.0
2008-10-13,-55.5556
2008-10-14,150.0
2008-10-30,-50.0
2008-10-31,0.0
2008-11-03,0.0
2008-11-04,0.0
2008-11-19,160.0
2008-11-20,-53.8462
2008-11-25,-50.0
2008-11-26,66.6667
