ticker,NWAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-02,-28.5714
2004-07-06,64.0
2004-07-07,12.1951
2004-07-08,-2.1739
2004-07-09,4.4444
2004-07-12,-23.4043
2004-07-13,25.0
2004-07-14,-11.1111
2004-07-15,12.5
2004-07-19,-2.2222
2004-07-20,4.5455
2004-07-21,0.0
2004-07-22,-6.5217
2004-07-23,4.6512
2004-07-26,-33.3333
2004-07-27,23.3333
2004-07-28,13.5135
2004-07-29,11.9048
2004-07-30,0.0
2004-08-02,2.1277
2004-08-03,4.1667
2004-08-04,-4.0
2004-08-05,2.0833
2004-08-06,0.0
2004-08-09,-18.3673
2004-08-10,17.5
2004-08-11,-8.5106
2004-08-12,11.6279
2004-08-13,-16.6667
2004-08-16,2.5
2004-08-17,4.878
2004-08-18,-16.2791
2004-08-19,-8.3333
2004-08-20,3.0303
2004-08-23,-2.9412000000000003
2004-08-24,-1.5152
2004-08-25,-13.8462
2004-08-26,-3.5714
2004-08-27,11.1111
2004-08-30,3.3333
2004-08-31,-9.6774
2004-09-01,7.1429
2004-09-02,16.6667
2004-09-03,14.2857
2004-09-07,2.5
2004-09-08,9.7561
2004-09-09,-6.6667
2004-09-10,-16.6667
2004-09-13,0.0
2004-09-14,-11.4286
2004-09-15,6.4516
2004-09-16,-7.5758
2004-09-17,11.4754
2004-09-20,-17.647100000000002
2004-09-21,-3.5714
2004-09-22,-11.1111
2004-09-23,4.1667
2004-09-24,-2.0
2004-09-27,6.1224
2004-09-28,-7.6923
2004-09-29,-4.1667
2004-09-30,-4.3478
2004-10-01,-9.0909
2004-10-04,5.0
2004-10-05,-4.7619
2004-10-06,0.0
2004-10-07,7.5
2004-10-08,-6.9767
2004-10-11,-2.5
2004-10-12,2.5641
2004-10-13,0.0
2004-10-14,0.0
2004-10-15,5.0
2004-10-18,-4.7619
2004-10-19,0.0
2004-10-20,0.0
2004-10-21,5.0
2004-10-22,0.0
2004-10-25,4.7619
2004-10-26,-18.1818
2004-10-27,0.0
2004-10-28,11.1111
2004-10-29,0.0
2004-11-02,-5.0
2004-11-03,-5.2632
2004-11-04,5.5556
2004-11-05,5.2632
2004-11-08,0.0
2004-11-09,5.0
2004-11-10,9.5238
2004-11-11,-13.0435
2004-11-12,10.0
2004-11-15,4.5455
2004-11-16,0.0
2004-11-17,-4.3478
2004-11-18,54.5455
2004-11-19,35.2941
2004-11-22,-23.913
2004-11-23,-2.8571
2004-11-24,17.647100000000002
2004-11-26,7.5
