ticker,IVST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-27,0.0
2007-03-30,26.6667
2007-04-04,189.4737
2007-04-05,-54.5455
2007-04-10,0.0
2007-04-11,8.0
2007-04-12,-20.3704
2007-04-13,-2.3256
2007-04-16,0.0
2007-04-17,19.0476
2007-04-18,4.0
2007-04-19,0.0
2007-04-20,0.0
2007-04-25,7.6923
2007-04-26,17.8571
2007-04-27,-13.6364
2007-05-01,-1.7544
2007-05-03,0.0
2007-05-04,0.0
2007-05-08,0.0
2007-05-09,0.0
2007-05-14,0.0
2007-05-15,-7.1429
2007-05-18,3.8462
2007-05-25,-3.7037
2007-05-30,0.0
2007-05-31,0.0
2007-06-07,-15.3846
2007-06-19,18.1818
2007-06-20,7.6923
2007-06-21,0.0
2007-06-25,-3.5714
2007-07-06,-14.8148
2007-07-10,0.0
2007-07-11,21.7391
2007-07-12,7.1429
2007-07-18,-6.6667
2007-07-19,3.5714
2007-07-20,-13.7931
2007-07-23,-8.0
2007-07-26,-8.6957
2007-07-27,-9.5238
2007-07-31,-15.7895
2007-08-01,0.0
2007-10-05,-37.5
2008-01-28,0.0
2008-01-30,0.0
2008-03-26,-20.0
2008-04-09,0.0
2008-04-24,25.0
2008-04-30,0.0
2008-05-14,0.0
2008-07-07,50.0
2008-08-07,-33.3333
2008-08-11,0.0
2008-08-18,100.0
2008-08-19,-25.0
2008-08-20,0.0
2008-08-26,-20.0
2008-10-02,-41.6667
2008-10-27,-28.5714
2008-11-21,-20.0
2008-11-24,0.0
2008-12-05,25.0
2008-12-11,0.0
2008-12-30,20.0
2008-12-31,150.0
2009-01-22,100.0
2009-01-29,-66.6667
2009-02-03,20.0
2009-02-05,-8.3333
2009-02-06,-9.0909
2009-02-13,0.0
2009-02-25,20.0
2009-02-26,-33.3333
2009-03-12,12.5
2009-03-13,-11.1111
2009-05-18,-62.5
2009-05-22,66.6667
2009-05-26,180.0
2009-05-27,-60.7143
2009-05-28,27.2727
2009-05-29,-14.2857
2009-06-01,25.0
2009-06-02,6.6667
2009-06-03,6.25
2009-06-04,0.0
2009-06-05,0.0
2009-06-10,-18.8235
2009-06-18,20.2899
2009-06-29,0.0
2009-07-23,-15.6627
2009-08-07,-14.2857
2009-10-23,-16.6667
2009-10-26,0.0
2009-10-29,-40.0
2009-11-03,-33.3333
2009-11-30,-50.0
2009-12-04,-80.0
2009-12-09,56.25
2010-01-07,-36.0
2010-01-20,0.0
2010-01-27,0.0
2010-03-03,900.0
