ticker,MORF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-27,20.0
2019-06-28,10.1111
2019-07-01,17.2048
2019-07-02,-2.4107
2019-07-03,1.4116
2019-07-05,3.7843
2019-07-08,-11.1065
2019-07-09,-5.7992
2019-07-10,-6.6567
2019-07-11,3.3244
2019-07-12,2.3612
2019-07-15,5.4499
2019-07-16,-0.4808
2019-07-17,-5.0242
2019-07-18,-2.238
2019-07-19,-1.6649
2019-07-22,3.8624
2019-07-23,4.2792
2019-07-24,1.1724
2019-07-25,-4.6837
2019-07-26,2.5836
2019-07-29,0.642
2019-07-30,3.5819
2019-07-31,6.9635
2019-08-01,0.9743
2019-08-02,4.1667
2019-08-05,-6.7368
2019-08-06,6.0497
2019-08-07,23.6696
2019-08-08,-6.4028
2019-08-09,4.0824
2019-08-12,-7.8445
2019-08-13,-8.0138
2019-08-14,-6.7111
2019-08-15,-5.7194
2019-08-16,1.327
2019-08-19,3.1338
2019-08-20,2.1769
2019-08-21,1.7753999999999999
2019-08-22,-3.8814
2019-08-23,-4.6733
2019-08-26,-4.712
2019-08-27,-1.998
2019-08-28,-3.16
2019-08-29,-2.3684
2019-08-30,-0.2695
2019-09-03,-2.7568
2019-09-04,5.781
2019-09-05,5.8854
2019-09-06,6.8486
2019-09-09,-2.7404
2019-09-10,0.1433
2019-09-11,-2.289
2019-09-12,2.001
2019-09-13,2.7751
2019-09-16,-11.3128
2019-09-17,-4.5669
2019-09-18,-3.3003
2019-09-19,-0.6826
2019-09-20,1.7755
2019-09-23,17.3326
2019-09-24,-6.0432
2019-09-25,-4.39
2019-09-26,-0.1602
2019-09-27,-4.2781
2019-09-30,1.1732
2019-10-01,1.6013
2019-10-02,-5.1087
2019-10-03,-3.6082
2019-10-04,-6.12
2019-10-07,-4.2405
2019-10-08,-2.1811
2019-10-09,1.5541
2019-10-10,-2.3287
2019-10-11,-7.1526
2019-10-14,-4.4754
2019-10-15,16.129
2019-10-16,-1.1905000000000001
2019-10-17,-3.4137
2019-10-18,-7.7616
2019-10-21,-0.8264
2019-10-22,3.6364
2019-10-23,-2.8509
2019-10-24,4.4394
2019-10-25,3.8184
2019-10-28,4.025
2019-10-29,-1.5344
2019-10-30,-1.4905
2019-10-31,-3.7138999999999998
2019-11-01,9.5
2019-11-04,2.4788
2019-11-05,-4.4558
2019-11-06,-5.9294
2019-11-07,9.3484
2019-11-08,-2.3964
2019-11-11,1.9907
2019-11-12,-2.2772
2019-11-13,-0.0666
2019-11-14,6.1292
