ticker,SRACU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-08,0.5
2019-11-11,0.0995
2019-11-12,0.0994
2019-11-13,0.2979
2019-11-14,0.495
2019-11-15,-0.4926
2019-11-18,-0.197
2019-11-19,-0.1002
2019-11-20,0.0
2019-11-21,-0.0993
2019-11-22,0.0
2019-11-25,0.1252
2019-11-26,0.1241
2019-11-27,0.0486
2019-11-29,-0.0991
2019-12-02,-0.1478
2019-12-03,0.3467
2019-12-04,-0.198
2019-12-05,0.6944
2019-12-09,-0.0985
2019-12-10,-0.0986
2019-12-11,-0.0464
2019-12-12,-0.0523
2019-12-13,0.0099
2019-12-16,0.0889
2019-12-19,0.1974
2019-12-20,-0.0985
2019-12-23,0.1529
2019-12-26,-0.1526
2019-12-27,0.0
2019-12-30,1.5779
2019-12-31,-0.0971
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-08,-0.4859
2020-01-10,-0.293
2020-01-13,0.0
2020-01-14,0.8815
2020-01-16,0.0
2020-01-17,0.0971
2020-01-21,0.1804
2020-01-22,-0.091
2020-01-24,-0.5737
2020-01-27,-0.1949
2020-01-28,-0.293
2020-01-29,0.0979
2020-01-31,0.3914
2020-02-04,-0.4873
2020-02-05,0.0
2020-02-06,0.0979
2020-02-07,0.2935
2020-02-11,0.2624
2020-02-12,-0.2618
2020-02-14,0.0
2020-02-18,0.0
2020-02-20,-0.3902
2020-02-21,0.0
2020-02-25,0.4897
2020-02-26,0.0
2020-02-27,-0.0975
2020-02-28,-0.2927
2020-03-02,0.6272
2020-03-03,0.2518
2020-03-04,-0.097
2020-03-05,0.6796
2020-03-06,1.2536
2020-03-09,0.0
2020-03-10,-0.4762
2020-03-13,-3.8278
2020-03-16,-0.597
2020-03-19,2.4024
2020-03-20,0.0
2020-03-24,0.0
2020-03-26,-1.7595
2020-03-31,0.0
2020-04-08,-1.4925
2020-04-13,0.202
2020-04-14,0.3024
2020-04-15,0.0
2020-04-24,1.2563
2020-04-28,-0.7444
2020-05-01,0.0
2020-05-04,-1.0
2020-05-05,0.5
2020-05-06,-0.1457
2020-05-18,-0.3523
2020-06-16,1.6162
2020-06-23,0.9443
2020-06-26,0.9148
2020-07-02,-1.4432
2020-07-08,0.0
2020-07-09,0.0594
2020-07-20,1.9197
2020-07-21,-2.4272
2020-07-23,2.4876
2020-07-27,-1.9417
2020-07-28,0.0
2020-07-30,1.9802
