ticker,PSXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-23,29.1304
2013-07-24,0.7744
2013-07-25,4.3769
2013-07-26,9.9232
2013-07-29,-4.7758
2013-07-30,-2.8746
2013-07-31,1.9207
2013-08-01,0.4016
2013-08-02,0.0
2013-08-05,1.8154
2013-08-06,-0.6951
2013-08-07,-2.3433
2013-08-08,0.9037
2013-08-09,-0.7412
2013-08-12,2.1157
2013-08-13,-0.0305
2013-08-14,-0.2133
2013-08-15,-0.733
2013-08-16,-0.5538
2013-08-19,-4.3936
2013-08-20,0.9709
2013-08-21,0.8654
2013-08-22,0.1589
2013-08-23,0.7614
2013-08-26,-1.1335
2013-08-27,-0.9554
2013-08-28,-0.836
2013-08-29,0.0973
2013-08-30,-0.3239
2013-09-03,-0.8775
2013-09-04,-0.2295
2013-09-05,-0.1314
2013-09-06,1.3162
2013-09-09,0.0325
2013-09-10,0.6494
2013-09-11,-0.9032
2013-09-12,-1.3021
2013-09-13,2.0778
2013-09-16,0.7754
2013-09-17,-0.6412
2013-09-18,-0.0968
2013-09-19,1.7442
2013-09-20,-0.9524
2013-09-23,-1.6346
2013-09-24,0.0326
2013-09-25,-0.1629
2013-09-26,0.1958
2013-09-27,0.6838
2013-09-30,-0.5175
2013-10-01,-0.2276
2013-10-02,-4.3988
2013-10-03,0.9543
2013-10-04,0.1688
2013-10-07,0.0337
2013-10-08,-0.6402
2013-10-09,-0.4747
2013-10-10,1.5673
2013-10-11,1.4425
2013-10-14,-0.6944
2013-10-15,3.0303
2013-10-16,0.9373
2013-10-17,0.6272
2013-10-18,0.6177
2013-10-21,7.1474
2013-10-22,-1.771
2013-10-23,-2.0132
2013-10-24,0.9506
2013-10-25,0.6379
2013-10-28,1.5091999999999999
2013-10-29,2.1409
2013-10-30,0.8443
2013-10-31,-2.5554
2013-11-01,-0.506
2013-11-04,-0.2692
2013-11-05,1.8296000000000001
2013-11-06,1.3844
2013-11-07,-3.9221
2013-11-08,0.3024
2013-11-11,0.211
2013-11-12,-0.1805
2013-11-13,0.1206
2013-11-14,-1.4148
2013-11-15,-1.0687
2013-11-18,-0.9259
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,-0.2804
2013-11-22,-1.3121
2013-11-25,-0.4748
2013-11-26,2.9262
2013-11-27,-1.3597000000000001
2013-11-29,3.1955
2013-12-02,1.0929
2013-12-03,0.3303
2013-12-04,-1.5864
2013-12-05,-1.0645
2013-12-06,0.2767
2013-12-09,0.4905
2013-12-10,2.288
