ticker,NTRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-02,26.3333
2015-07-06,-3.2542
2015-07-07,0.0
2015-07-08,-2.4091
2015-07-09,-1.0247
2015-07-10,2.3529
2015-07-13,-3.0345
2015-07-14,-1.944
2015-07-15,-0.7253
2015-07-16,6.5757
2015-07-17,-4.5704
2015-07-20,2.6341
2015-07-21,-3.8731
2015-07-22,0.8252
2015-07-23,-1.6851
2015-07-24,-5.8766
2015-07-27,-6.3476
2015-07-28,0.2222
2015-07-29,0.9424
2015-07-30,-0.4393
2015-07-31,-0.2206
2015-08-03,-6.7993
2015-08-04,2.0166
2015-08-05,1.686
2015-08-06,1.944
2015-08-07,-4.3186
2015-08-10,0.5862
2015-08-11,-2.8555
2015-08-12,-1.9196
2015-08-13,-4.8318
2015-08-14,1.2852999999999999
2015-08-17,-3.3629
2015-08-18,2.2981
2015-08-19,-5.5199
2015-08-20,-2.5815
2015-08-21,-0.8368
2015-08-24,0.3516
2015-08-25,0.5606
2015-08-26,5.6446
2015-08-27,1.1873
2015-08-28,4.2373
2015-08-31,-1.0632
2015-09-01,-0.3793
2015-09-02,-2.8552999999999997
2015-09-03,-0.0653
2015-09-04,-0.2614
2015-09-08,3.8663
2015-09-09,-0.8202
2015-09-10,1.4631
2015-09-11,1.9436
2015-09-14,-1.5375
2015-09-15,3.1855
2015-09-16,-4.54
2015-09-17,0.1902
2015-09-18,-4.2405
2015-09-21,-4.5605
2015-09-22,-8.9335
2015-09-23,-1.597
2015-09-24,6.8006
2015-09-25,-6.3676
2015-09-28,-5.6414
2015-09-29,-9.0909
2015-09-30,-2.2523
2015-10-01,-4.5161
2015-10-02,-5.9846
2015-10-05,-3.0801
2015-10-06,-1.1653
2015-10-07,-0.9646
2015-10-08,1.7316
2015-10-09,0.8511
2015-10-12,-2.9536
2015-10-13,-0.6522
2015-10-14,-2.407
2015-10-15,2.9148
2015-10-16,-6.3181
2015-10-19,-0.6977
2015-10-20,-3.3958
2015-10-21,-2.303
2015-10-22,-0.1241
2015-10-23,6.2112
2015-10-26,-0.5848
2015-10-27,1.5293999999999999
2015-10-28,4.1715
2015-10-29,-2.5584
2015-10-30,-5.8219
2015-11-02,3.0303
2015-11-03,2.5882
2015-11-04,-0.2294
2015-11-05,-0.4598
2015-11-06,4.157
2015-11-09,1.5521
2015-11-10,6.5502
2015-11-11,-4.5082
2015-11-12,-3.3262
2015-11-13,10.6548
2015-11-16,-7.2217
2015-11-17,0.3243
2015-11-18,4.9569
