ticker,PING US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-19,34.0667
2019-09-20,-3.9781
2019-09-23,-2.5893
2019-09-24,-1.5949
2019-09-25,-2.7553
2019-09-26,-5.3333
2019-09-27,-3.0516
2019-09-30,4.4189
2019-10-01,-4.7536000000000005
2019-10-02,-2.7998
2019-10-03,3.757
2019-10-04,0.7846
2019-10-07,-1.1377
2019-10-08,-0.3634
2019-10-09,0.0608
2019-10-10,-2.3086
2019-10-11,2.3632
2019-10-14,1.3366
2019-10-15,0.3597
2019-10-16,-5.0179
2019-10-17,-2.2641999999999998
2019-10-18,3.9897
2019-10-21,-1.4233
2019-10-22,-2.4482
2019-10-23,5.148
2019-10-24,-1.1016
2019-10-25,3.1559
2019-10-28,1.7397
2019-10-29,-1.9458
2019-10-30,1.8641
2019-10-31,-1.3577
2019-11-01,-0.1795
2019-11-04,0.5995
2019-11-05,-1.4899
2019-11-06,1.4519
2019-11-07,1.3119
2019-11-08,0.1177
2019-11-11,-2.8807
2019-11-12,1.6343999999999999
2019-11-13,-1.6677
2019-11-14,13.2647
2019-11-15,2.8877
2019-11-18,-3.2225
2019-11-19,-0.0537
2019-11-20,3.8689
2019-11-21,5.9493
2019-11-22,-1.3184
2019-11-25,6.0366
2019-11-26,-0.42
2019-11-27,3.2334
2019-11-29,1.8157
2019-12-02,-2.8979
2019-12-03,1.8824999999999998
2019-12-04,-0.5858
2019-12-05,-2.9012000000000002
2019-12-06,-3.408
2019-12-09,1.015
2019-12-10,0.8612
2019-12-11,-1.6602999999999999
2019-12-12,1.013
2019-12-13,3.5339
2019-12-16,2.6753
2019-12-17,2.3810000000000002
2019-12-18,-1.1847
2019-12-19,3.5524
2019-12-20,6.6038
2019-12-23,-3.3387000000000002
2019-12-24,2.0807
2019-12-26,-0.6115
2019-12-27,1.2305
2019-12-30,0.3647
2019-12-31,-1.8975
2020-01-02,0.2469
2020-01-03,0.2874
2020-01-06,0.4093
2020-01-07,-0.53
2020-01-08,2.9508
2020-01-09,0.1592
2020-01-10,2.3449999999999998
2020-01-13,4.3495
2020-01-14,2.3446
2020-01-15,-1.6726999999999999
2020-01-16,-3.6982
2020-01-17,-1.4977
2020-01-21,-2.768
2020-01-22,1.2429999999999999
2020-01-23,-0.9505
2020-01-24,-0.04
2020-01-27,-2.84
2020-01-28,0.247
2020-01-29,2.5462
2020-01-30,2.0425
2020-01-31,-4.8273
2020-02-03,4.866
2020-02-04,1.8875
2020-02-05,-5.056
2020-02-06,0.0
