ticker,AOBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.0
2000-01-10,-25.0
2000-01-18,-44.4444
2000-01-28,260.0
2000-01-31,0.0
2000-02-01,-72.2222
2000-02-03,260.0
2000-02-17,-66.6667
2000-02-18,16.6667
2000-02-22,0.0
2000-02-23,0.0
2000-03-08,71.4286
2000-03-10,0.0
2000-03-13,-60.0
2000-03-30,0.0
2000-04-11,0.0
2000-04-25,0.0
2000-05-22,191.6667
2000-05-24,14.2857
2000-05-30,-74.5
2000-06-06,-50.9804
2000-06-07,0.0
2000-07-26,300.0
2000-08-01,20.0
2000-08-28,-81.6667
2000-08-29,354.5455
2000-08-30,-12.5
2000-08-31,-20.0
2000-09-05,-28.5714
2000-09-06,-48.0
2000-09-11,0.0
2000-09-12,-3.8462
2000-09-14,0.0
2000-09-18,32.0
2000-09-19,-36.3636
2000-09-20,-4.7619
2000-09-21,-20.0
2000-09-22,56.25
2000-09-25,-12.0
2000-09-27,13.6364
2000-09-28,75.0
2000-09-29,-14.2857
2000-10-02,-33.3333
2000-10-03,50.0
2000-10-04,-41.3333
2000-10-05,70.4545
2000-10-06,-16.6667
2000-10-09,-20.0
2000-10-10,-12.5
2000-10-11,-14.2857
2000-10-12,0.0
2000-10-13,0.0
2000-10-17,-30.6667
2000-10-20,23.0769
2000-10-23,25.0
2000-10-26,0.0
2000-10-30,0.0
2000-10-31,-25.0
2000-11-01,0.0
2000-11-02,6.6667
2000-11-03,-6.25
2000-11-06,0.0
2000-11-07,0.0
2000-11-09,0.0
2000-11-10,0.0
2000-11-13,-53.3333
2000-11-16,0.0
2000-11-22,0.0
2000-11-27,28.5714
2000-11-29,11.1111
2000-12-01,0.0
2000-12-04,25.0
2000-12-05,56.0
2000-12-06,-20.5128
2000-12-07,-41.9355
2000-12-08,-16.6667
2000-12-11,26.6667
2000-12-12,-52.6316
2000-12-14,33.3333
2000-12-18,0.0
2000-12-19,25.0
2000-12-20,0.0
2000-12-21,33.3333
2000-12-22,-10.0
2000-12-26,0.0
2000-12-28,-5.5556
2000-12-29,5.8824
2001-01-02,-33.3333
2001-01-03,16.6667
2001-01-05,0.0
2001-01-08,-14.2857
2001-01-10,4.1667
2001-01-11,20.0
2001-01-12,-20.0
2001-01-16,-8.3333
2001-01-17,9.0909
2001-01-19,-16.6667
2001-01-23,20.0
2001-01-24,-12.5
2001-01-25,-14.2857
2001-01-26,33.3333
2001-01-29,-25.0
2001-01-30,-11.1111
2001-01-31,-12.5
