ticker,SUM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-12,16.5
2015-03-13,0.1431
2015-03-16,0.4762
2015-03-17,3.0806
2015-03-18,-1.3333
2015-03-19,0.1864
2015-03-20,1.8605
2015-03-23,-2.1461
2015-03-24,1.4466
2015-03-25,-0.92
2015-03-26,1.0214
2015-03-27,0.0
2015-03-30,-1.2408
2015-03-31,3.0712
2015-04-01,-2.9797000000000002
2015-04-02,1.8148
2015-04-06,-0.3656
2015-04-07,-1.7431
2015-04-08,-1.8207
2015-04-09,0.8559
2015-04-10,-0.7072
2015-04-13,-0.7123
2015-04-14,2.2477
2015-04-15,3.2741
2015-04-16,0.0453
2015-04-17,6.7904
2015-04-20,2.6706
2015-04-21,-2.1057
2015-04-22,-0.8013
2015-04-23,-1.9133
2015-04-24,2.8609
2015-04-27,1.0957
2015-04-28,0.8754
2015-04-29,-3.8017
2015-04-30,1.7612
2015-05-01,4.0946
2015-05-04,-1.987
2015-05-05,5.6682
2015-05-06,2.036
2015-05-07,-0.4221
2015-05-08,0.2697
2015-05-11,1.153
2015-05-12,-1.2158
2015-05-13,-0.3077
2015-05-14,1.659
2015-05-15,-1.2524
2015-05-18,2.3444
2015-05-19,1.5021
2015-05-20,-1.3319
2015-05-21,4.6494
2015-05-22,0.9674
2015-05-26,1.9872
2015-05-27,-2.2617
2015-05-28,0.0
2015-05-29,-2.1004
2015-06-01,-1.6
2015-06-02,-2.2542
2015-06-03,-2.6087
2015-06-04,-2.4457
2015-06-05,3.5416
2015-06-08,1.9985
2015-06-09,-0.3391
2015-06-10,1.7769
2015-06-11,0.2972
2015-06-12,-1.963
2015-06-15,-1.6245
2015-06-16,3.725
2015-06-17,-0.9996
2015-06-18,0.2618
2015-06-19,3.2824
2015-06-22,-2.3474
2015-06-23,-1.2204
2015-06-24,-2.2838
2015-06-25,-2.1456
2015-06-26,-0.0392
2015-06-29,-1.8018
2015-06-30,1.7151999999999998
2015-07-01,1.0196
2015-07-02,0.7376
2015-07-06,2.1195
2015-07-07,-1.8491
2015-07-08,-0.8074
2015-07-09,-2.5194
2015-07-10,1.7097
2015-07-13,-0.1564
2015-07-14,1.9577
2015-07-15,-0.576
2015-07-16,1.1587
2015-07-17,1.0309
2015-07-20,-0.6803
2015-07-21,-1.9405999999999999
2015-07-22,-1.397
2015-07-23,-1.0626
2015-07-24,-0.8353
2015-07-27,-1.9655
2015-07-28,2.4959
2015-07-29,1.5968
2015-07-30,0.668
2015-07-31,-2.0687
