ticker,ARVCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-09-12,-7.9327
2003-03-14,-14.8763
2003-12-22,82.575
2004-01-13,7.4
2004-01-27,2.7933
2004-04-19,1.4493
2004-09-02,11.7445
2004-09-07,-1.721
2004-09-29,19.0244
2004-09-30,1.3660999999999999
2004-10-01,-2.4259
2004-10-05,-0.5525
2004-10-28,1.6667
2004-11-03,2.5778
2004-11-04,0.417
2004-11-15,-3.4483
2004-11-18,-2.1978
2004-12-06,17.4157
2004-12-07,-0.7177
2004-12-09,-2.4096
2004-12-22,5.3193
2005-01-06,5.0304
2005-01-10,-6.0629
2005-01-26,-0.1991
2005-02-09,-6.9262
2005-02-14,2.3254
2005-02-15,-0.75
2005-02-16,0.1698
2005-02-17,4.1053
2005-02-18,0.7246
2005-02-22,3.5971
2005-02-23,1.1574
2005-02-24,5.7208
2005-02-25,7.5758
2005-02-28,1.8109
2005-03-02,-1.1858
2005-03-03,-1.0
2005-03-04,1.0101
2005-03-07,3.0
2005-03-08,-3.301
2005-03-09,-5.6225000000000005
2005-03-10,3.617
2005-03-14,-3.4908
2005-03-17,-1.2766
2005-03-18,-1.7241
2005-03-21,-3.5088
2005-03-22,-2.2727
2005-03-23,0.0
2005-04-01,1.1628
2005-04-04,2.7586
2005-04-06,-2.0134
2005-04-18,-8.6758
2005-04-22,4.5
2005-04-25,-2.6316
2005-04-26,-0.5651
2005-04-27,0.0741
2005-04-28,-2.716
2005-05-03,0.3782
2005-05-06,1.7725
2005-05-12,-0.3727
2005-05-31,2.2444
2005-06-01,1.2195
2005-06-02,0.0
2005-06-07,-1.2048
2005-06-08,0.0
2005-07-08,12.1951
2005-08-04,3.4783
2005-08-15,0.4202
2005-08-24,-1.6736
2005-09-09,5.3191
2005-09-13,-2.0202
2005-09-15,8.9897
2005-09-19,-1.4378
2005-09-22,7.8695
2005-09-27,-4.6529
2005-09-28,-1.7372
2005-09-30,2.7687
2005-10-04,-3.903
2005-10-06,-3.0769
2005-11-01,-10.4028
2005-11-02,4.0813
2005-11-04,1.7021
2005-11-07,0.0
2005-11-09,-2.7197
2005-11-14,1.7204000000000002
2005-11-15,-5.9725
2005-11-18,0.7307
2005-11-21,0.8929
2005-11-22,2.8761
2005-11-23,0.7527
2005-11-28,-0.7471
2005-11-30,-1.0753
2005-12-02,-0.1087
2005-12-15,-1.197
2005-12-20,2.533
2006-01-04,11.7078
2006-01-05,1.9231
2006-01-06,0.0
2006-01-11,0.0
2006-01-12,0.3774
