ticker,VSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1502
2000-01-04,-4.3299
2000-01-05,1.2931
2000-01-06,-5.5319
2000-01-07,5.4054
2000-01-10,5.7692
2000-01-11,6.2626
2000-01-12,1.9011
2000-01-13,2.6119
2000-01-14,7.6364
2000-01-18,1.3514
2000-01-19,-1.5
2000-01-20,-2.0305
2000-01-21,0.8636
2000-01-24,8.2192
2000-01-25,4.2722
2000-01-26,-3.9454000000000002
2000-01-27,-1.4218
2000-01-28,-6.0897
2000-01-31,1.7065000000000001
2000-02-01,11.0738
2000-02-02,3.9275
2000-02-03,1.7442
2000-02-04,-0.2857
2000-02-07,0.0
2000-02-08,3.1519
2000-02-09,-4.7222
2000-02-10,2.7697000000000003
2000-02-11,-3.8298
2000-02-14,-1.3274
2000-02-15,3.1390000000000002
2000-02-16,2.029
2000-02-17,5.8239
2000-02-18,-5.2349
2000-02-22,-0.2833
2000-02-23,-1.2784
2000-02-24,-1.4388
2000-02-25,-4.5255
2000-02-28,-2.2936
2000-02-29,7.6682
2000-03-01,12.5
2000-03-02,-4.7804
2000-03-03,11.5332
2000-03-06,12.4088
2000-03-07,-10.3896
2000-03-08,3.3816
2000-03-09,4.6729
2000-03-10,0.7812
2000-03-13,-3.6545
2000-03-14,-0.3448
2000-03-15,0.5767
2000-03-16,-5.6193
2000-03-17,2.7946999999999997
2000-03-20,4.8463
2000-03-21,6.4262
2000-03-22,-5.8263
2000-03-23,2.8121
2000-03-24,-1.5316999999999998
2000-03-27,-0.2222
2000-03-28,-2.5612
2000-03-29,7.4286
2000-03-30,-3.8298
2000-03-31,-1.5487
2000-04-03,-2.0225
2000-04-04,-0.6881
2000-04-05,2.7714
2000-04-06,12.0225
2000-04-07,5.9178
2000-04-10,-4.7348
2000-04-11,-0.3976
2000-04-12,-6.5868
2000-04-13,5.3419
2000-04-14,-11.7647
2000-04-17,10.1149
2000-04-18,10.0209
2000-04-19,1.1385
2000-04-20,-2.6266
2000-04-24,-4.817
2000-04-25,9.3117
2000-04-26,7.4074
2000-04-27,8.9655
2000-04-28,6.3291
2000-05-01,-2.6786
2000-05-02,-6.2691
2000-05-03,-3.0995
2000-05-04,5.5556
2000-05-05,3.6683
2000-05-08,-3.5385
2000-05-09,-6.2201
2000-05-10,-3.4013999999999998
2000-05-11,5.4577
2000-05-12,13.773
2000-05-15,-3.3749000000000002
2000-05-16,-0.9871
2000-05-17,8.589
2000-05-18,3.6723
2000-05-19,-5.1771
