ticker,KITL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-26,50.0
2019-11-27,0.0
2019-12-17,-50.0
2020-01-07,33.3333
2020-01-09,50.0
2020-01-14,-16.6667
2020-02-14,-40.0
2020-02-19,0.0
2020-02-24,0.0
2020-02-26,20.0
2020-03-18,11.1111
2020-03-19,-50.0
2020-04-27,0.0
2020-04-30,-30.0
2020-05-12,74.2857
2020-05-20,-1.6393
2020-06-03,0.0
2020-06-08,-16.6667
2020-06-10,0.0
2020-06-15,50.0
2020-06-23,0.0
2020-06-29,33.3333
2020-06-30,-50.0
2020-07-07,40.0
2020-07-08,-28.5714
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0
2020-07-20,-30.0
2020-07-22,0.0
2020-07-27,28.5714
2020-07-30,0.0
