ticker,GPLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-17,40.0
2010-07-16,200.0
2010-07-19,9.5238
2010-07-23,-13.0435
2010-09-01,10.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-28,0.0
2010-10-04,0.0
2010-10-07,0.0
2010-11-12,-18.1818
2010-11-15,11.1111
2010-11-16,8.0
2010-12-07,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-27,154.6296
2010-12-29,-40.0
2010-12-30,33.3333
2010-12-31,25.0
2011-01-05,-56.0
2011-01-11,27.2727
2011-01-12,-35.0
2011-01-19,4.3956
2011-01-21,-4.2105
2011-01-24,53.8462
2011-01-26,-28.5714
2011-01-27,0.0
2011-01-28,0.0
2011-01-31,0.0
2011-02-01,-10.0
2011-02-28,-11.1111
2011-03-16,125.0
2011-03-17,-44.4444
2011-03-28,-30.0
2011-04-06,-21.4286
2011-04-12,-9.0909
2011-04-14,10.0
2011-04-26,-16.3636
2011-05-18,117.3913
2011-05-24,-28.0
2011-06-02,-1.3889
2011-06-22,26.7606
2011-07-28,-16.6667
2011-08-03,240.0
2011-08-04,-0.3922
2011-08-08,29.1339
2011-08-09,3.6585
2011-08-10,-32.3529
2011-08-11,0.0
2011-08-12,4.3478
2011-08-15,-20.8333
2011-08-16,-23.6842
2011-08-17,26.8966
2011-08-18,-18.4783
2011-08-19,6.6667
2011-08-22,18.75
2011-08-23,-13.1579
2011-08-24,39.3939
2011-08-25,0.0
2011-08-26,-6.5217
2011-08-29,6.9767
2011-08-30,-4.3478
2011-08-31,-4.5455
2011-09-01,8.0952
2011-09-02,-7.489
2011-09-06,11.9048
2011-09-07,4.2553
2011-09-08,-7.7551
2011-09-09,11.5044
2011-09-12,-20.634900000000002
2011-09-13,-30.0
2011-09-14,-3.5714
2011-09-15,0.0
2011-09-16,3.3333
2011-09-19,0.3584
2011-09-20,3.5714
2011-09-21,22.4138
2011-09-22,-15.493
2011-09-23,0.0
2011-09-26,-10.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,-5.9259
2011-09-30,-5.5118
2011-10-03,-25.0
2011-10-04,-16.6667
2011-10-05,6.6667
2011-10-06,0.0
2011-10-07,6.25
2011-10-10,0.0
2011-10-11,17.647100000000002
2011-10-12,-10.0
2011-10-13,-5.5556
2011-10-14,5.8824
2011-10-17,-10.0
2011-10-18,-1.2346
2011-10-20,0.1563
2011-10-21,-0.156
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,-12.5
