ticker,AXRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-13,0.0
2002-04-16,50.0
2002-06-04,316.6667
2002-06-05,0.0
2002-06-10,40.0
2002-06-11,-42.8571
2002-06-12,0.0
2002-07-31,-49.5
2002-08-08,23.7624
2002-08-15,-1.6
2002-08-16,0.0
2002-08-19,1.626
2002-08-20,0.0
2002-08-21,-8.0
2002-08-22,-4.3478
2002-08-27,0.0
2002-08-28,13.6364
2002-09-03,4.0
2002-09-05,0.0
2002-09-19,42.3077
2002-09-23,8.1081
2002-09-26,12.5
2002-09-30,28.8889
2002-10-01,-3.4483
2002-10-02,1.7856999999999998
2002-10-04,-36.8421
2002-10-07,66.6667
2002-10-09,3.3333
2002-10-10,1.6129
2002-10-11,11.1111
2002-10-14,-34.2857
2002-10-15,2.1739
2002-10-16,-44.6809
2002-10-22,15.3846
2002-10-31,-3.3333
2002-11-01,6.8966
2002-11-04,0.0
2002-11-05,29.0323
2002-11-06,37.5
2002-11-07,7.2727
2002-11-08,5.0847
2002-11-11,-3.2258
2002-11-12,1.6667
2002-11-13,-3.2787
2002-11-14,1.8643999999999998
2002-11-15,4.8253
2002-11-18,1.5873
2002-11-19,4.6875
2002-11-20,-4.4776
2002-11-21,3.125
2002-11-22,-1.5152
2002-11-25,0.0
2002-11-26,-3.0769
2002-11-27,-3.1746
2002-11-29,0.0
2002-12-02,6.5574
2002-12-03,-6.1538
2002-12-05,4.918
2002-12-06,18.75
2002-12-09,18.4211
2002-12-10,11.1111
2002-12-12,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,0.0
2002-12-19,0.0
2002-12-20,0.0
2002-12-23,3.0
2002-12-26,0.9709
2002-12-30,0.0
2003-01-06,6.7308
2003-01-07,-1.8018
2003-01-08,1.8349
2003-01-09,-0.9009
2003-01-10,-1.8182
2003-01-13,0.0
2003-01-15,0.9259
2003-01-21,0.9174
2003-01-22,2.0
2003-01-23,6.0606
2003-01-24,0.8403
2003-01-29,-8.3333
2003-02-03,-21.8182
2003-02-04,0.0
2003-02-05,13.9535
2003-02-06,-9.1837
2003-02-20,0.0
2003-02-25,10.1124
2003-02-27,-9.1837
2003-03-05,0.0
2003-03-11,-5.618
2003-03-12,-3.5714
2003-03-14,0.0
2003-03-19,0.0
2003-03-21,0.0
2003-04-01,0.0
2003-04-02,-22.2222
2003-04-15,-4.7619
2003-04-16,-23.3333
2003-04-17,8.6957
2003-04-22,0.0
2003-05-07,26.0
2003-05-08,1.5873
