ticker,TKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7523
2000-01-04,-5.9748
2000-01-05,2.0067
2000-01-06,3.9344
2000-01-07,2.2082
2000-01-10,0.9259
2000-01-11,-1.8349
2000-01-12,-1.2461
2000-01-13,-0.3155
2000-01-14,1.2658
2000-01-18,0.0
2000-01-19,-0.3125
2000-01-20,-7.5235
2000-01-21,-1.6949
2000-01-24,-3.4483
2000-01-25,-2.8571
2000-01-26,-1.4706000000000001
2000-01-27,-2.2388
2000-01-28,-4.9618
2000-01-31,4.8193
2000-02-01,1.1494
2000-02-02,-3.0303
2000-02-03,-0.3906
2000-02-04,-3.9215999999999998
2000-02-07,0.8163
2000-02-08,-2.4291
2000-02-09,-0.8299
2000-02-10,-1.6736
2000-02-11,-1.2766
2000-02-14,1.7241
2000-02-15,2.5423999999999998
2000-02-16,-1.7025000000000001
2000-02-17,-3.4043
2000-02-18,-1.3216
2000-02-22,1.7856999999999998
2000-02-23,-1.3158
2000-02-24,-0.4444
2000-02-25,-3.5714
2000-02-28,8.7963
2000-02-29,-2.5532
2000-03-01,0.4367
2000-03-02,-2.1739
2000-03-03,4.8889
2000-03-06,-1.2711999999999999
2000-03-07,-0.4292
2000-03-08,0.8621
2000-03-09,1.7094
2000-03-10,0.8403
2000-03-13,-1.6667
2000-03-14,0.4237
2000-03-15,2.1097
2000-03-16,5.7851
2000-03-17,2.3438
2000-03-20,-2.2901
2000-03-21,2.3438
2000-03-22,0.0
2000-03-23,0.3817
2000-03-24,-1.9011
2000-03-27,-1.1628
2000-03-28,-1.5686
2000-03-29,0.7968
2000-03-30,1.9763
2000-03-31,0.7752
2000-04-03,0.7692
2000-04-04,-1.145
2000-04-05,-1.5444
2000-04-06,1.9607999999999999
2000-04-07,-0.3846
2000-04-10,0.3861
2000-04-11,0.0
2000-04-12,3.4615
2000-04-13,-0.7435
2000-04-14,-4.4944
2000-04-17,-0.3922
2000-04-18,2.7559
2000-04-19,1.5326
2000-04-20,3.0189
2000-04-24,0.3663
2000-04-25,6.2044
2000-04-26,0.6873
2000-04-27,-0.3413
2000-04-28,1.3699
2000-05-01,3.3784
2000-05-02,2.2876
2000-05-03,5.1118
2000-05-04,4.5593
2000-05-05,-2.907
2000-05-08,-0.2994
2000-05-09,-3.3033
2000-05-10,-1.5528
2000-05-11,5.0473
2000-05-12,0.6006
2000-05-15,-0.2985
2000-05-16,0.8982
2000-05-17,-0.3323
2000-05-18,-3.3033
2000-05-19,-1.8634
