ticker,LYB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-29,4.5455
2010-04-30,-3.0435
2010-05-03,2.2422
2010-05-04,-5.7018
2010-05-05,-4.2326
2010-05-06,-5.5367
2010-05-07,-4.3702
2010-05-10,2.2043
2010-05-11,-0.5786
2010-05-12,4.7619
2010-05-13,-0.7576
2010-05-14,-4.5802
2010-05-17,0.5333
2010-05-18,-0.3183
2010-05-19,-5.801
2010-05-20,-4.5198
2010-05-21,-2.071
2010-05-24,2.1148
2010-05-25,-1.9527
2010-05-26,3.5003
2010-05-27,4.3732
2010-05-28,-0.7263
2010-06-01,-1.5194
2010-06-02,-0.9714
2010-06-03,0.0
2010-06-04,-1.6157
2010-06-07,-0.9384
2010-06-08,-0.8289
2010-06-09,0.2388
2010-06-10,1.0721
2010-06-11,1.0018
2010-06-14,2.042
2010-06-15,2.7443999999999997
2010-06-16,-1.8364
2010-06-17,-1.9274
2010-06-18,-0.5202
2010-06-21,-0.6392
2010-06-22,-1.5205
2010-06-23,-1.1283
2010-06-24,0.9009
2010-06-25,0.119
2010-06-28,0.2973
2010-06-29,-3.6752000000000002
2010-06-30,-0.6154
2010-07-01,-3.7152
2010-07-02,-0.4502
2010-07-06,-2.7132
2010-07-07,-0.3984
2010-07-08,0.3333
2010-07-09,4.9834
2010-07-12,0.1266
2010-07-13,3.6662
2010-07-14,0.0
2010-07-15,-0.1829
2010-07-16,-1.0385
2010-07-19,1.5432000000000001
2010-07-20,-1.5805
2010-07-21,0.3088
2010-07-22,1.9089
2010-07-23,1.3897
2010-07-26,5.1847
2010-07-27,3.2861000000000002
2010-07-28,-1.6456
2010-07-29,0.0558
2010-07-30,0.3344
2010-08-02,0.3333
2010-08-03,-0.8859
2010-08-04,2.2346
2010-08-05,-0.3279
2010-08-06,-1.3158
2010-08-09,0.2778
2010-08-10,-0.3324
2010-08-11,-2.1123
2010-08-12,-0.6246
2010-08-13,2.9714
2010-08-16,3.7736
2010-08-17,1.9786000000000001
2010-08-18,3.828
2010-08-19,0.0
2010-08-20,0.4545
2010-08-23,0.8547
2010-08-24,-0.349
2010-08-25,-0.3002
2010-08-26,0.3512
2010-08-27,2.2
2010-08-30,-1.0763
2010-08-31,1.3848
2010-09-01,2.5366
2010-09-02,-0.333
2010-09-03,0.8592
2010-09-07,-0.8045
2010-09-08,0.1431
2010-09-09,-1.3816
2010-09-10,0.4348
2010-09-13,2.8379
2010-09-14,0.608
2010-09-15,0.2325
2010-09-16,1.3451
