ticker,KN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-18,-1.2199
2014-02-19,0.1059
2014-02-20,2.5379
2014-02-21,-0.3094
2014-02-24,0.069
2014-02-25,0.9304
2014-02-26,2.424
2014-02-27,-0.4667
2014-02-28,7.6691
2014-03-03,-2.6439
2014-03-04,-2.3323
2014-03-05,-0.8832
2014-03-06,-0.165
2014-03-07,-2.3802
2014-03-10,-3.3525
2014-03-11,1.5067
2014-03-12,4.4184
2014-03-13,3.0413
2014-03-14,-0.4812
2014-03-17,1.3216999999999999
2014-03-18,4.7089
2014-03-19,-2.7347
2014-03-20,-1.6557
2014-03-21,1.3977
2014-03-24,-1.2845
2014-03-25,1.7137
2014-03-26,-1.6225
2014-03-27,0.2537
2014-03-28,-0.0316
2014-03-31,-0.0949
2014-04-01,0.0317
2014-04-02,0.095
2014-04-03,0.1265
2014-04-04,-1.2638
2014-04-07,-0.544
2014-04-08,0.6757
2014-04-09,1.1186
2014-04-10,-0.885
2014-04-11,-1.7219
2014-04-14,-2.0117
2014-04-15,0.8609
2014-04-16,-1.5430000000000001
2014-04-17,2.3008
2014-04-21,-0.2608
2014-04-22,0.6209
2014-04-23,1.9811999999999999
2014-04-24,0.2229
2014-04-25,-0.5084
2014-04-28,-1.2456
2014-04-29,-4.5278
2014-04-30,-5.3862
2014-05-01,1.468
2014-05-02,2.5759
2014-05-05,-1.6856
2014-05-06,2.8341
2014-05-07,1.7013
2014-05-08,-2.1077
2014-05-09,1.3671
2014-05-12,1.6521
2014-05-13,0.0995
2014-05-14,-0.3313
2014-05-15,0.4654
2014-05-16,-1.0589
2014-05-19,-0.1338
2014-05-20,-1.0717
2014-05-21,-1.4218
2014-05-22,-0.7555
2014-05-23,-0.7612
2014-05-27,-1.8131
2014-05-28,0.142
2014-05-29,-0.1064
2014-05-30,0.142
2014-06-02,1.5596999999999999
2014-06-03,0.6283
2014-06-04,0.5897
2014-06-05,2.2069
2014-06-06,0.776
2014-06-09,1.5735000000000001
2014-06-10,0.0
2014-06-11,1.1206
2014-06-12,1.7601
2014-06-13,-0.7047
2014-06-16,-1.129
2014-06-17,2.4144
2014-06-18,-0.0319
2014-06-19,1.7527
2014-06-20,0.9082
2014-06-23,0.807
2014-06-24,-3.202
2014-06-25,-1.4313
2014-06-26,-1.0971
2014-06-27,-0.3589
2014-06-30,0.6549
2014-07-01,1.1386
2014-07-02,-3.1521
2014-07-03,1.5609
2014-07-07,-1.4388
2014-07-08,-0.6967
