ticker,LGMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-27,0.0
2010-10-28,0.0
2010-11-02,-14.2857
2010-11-09,66.6667
2010-12-01,-10.0
2010-12-02,-5.0
2011-01-21,-41.5205
2011-05-19,-60.0
2011-06-30,-70.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,-33.3333
2011-07-08,0.0
2011-07-18,100.0
2011-07-19,0.0
2011-07-22,125.0
2011-07-28,-44.4444
2011-09-06,0.0
2011-09-16,0.0
2011-09-26,-40.0
2011-10-04,-16.6667
2011-10-06,-12.0
2011-10-11,-4.5455
2011-10-12,-47.619
2011-10-13,59.0909
2011-10-25,185.7143
2011-10-31,90.0
2011-11-01,-47.3684
2011-11-07,0.0
2011-11-09,60.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-08,-12.5
2011-12-30,-28.5714
2012-02-03,110.0
2012-02-07,4.7619
2012-02-08,-9.0909
2012-02-09,-5.0
2012-02-13,-5.3947
2012-02-16,0.1391
2012-02-21,55.5556
2012-02-23,0.0
2012-02-27,-10.7143
2012-02-28,179.9
2012-02-29,-65.702
2012-03-02,-16.6667
2012-03-05,0.0
2012-03-06,0.0
2012-03-09,50.0
2012-03-15,-20.0
2012-03-20,-33.3333
2012-03-21,25.0
2012-04-05,0.0
2012-04-09,0.0
2012-04-12,-20.0
2012-04-13,25.0
2012-04-16,0.0
2012-04-17,50.0
2012-04-18,5.3333
2012-04-19,26.5823
2012-04-20,50.0
2012-04-24,-43.6667
2012-04-25,18.3432
2012-04-26,-50.75
2012-04-27,31.9797
2012-05-03,-23.0769
2012-05-04,0.0
2012-05-07,0.0
2012-05-08,10.0
2012-05-09,0.0
2012-05-10,-13.6364
2012-05-11,0.0
2012-05-14,-10.526299999999999
2012-05-15,15.2941
2012-05-16,-28.5714
2012-05-17,21.4286
2012-05-18,-14.1176
2012-05-21,-24.6575
2012-05-22,30.9091
2012-05-23,-1.3889
2012-05-24,19.7183
2012-05-25,-7.0588
2012-05-29,-1.2658
2012-05-30,-3.8462
2012-05-31,-6.6667
2012-06-01,-1.4285999999999999
2012-06-04,0.0
2012-06-05,1.4493
2012-06-06,0.0
2012-06-08,0.0
2012-06-12,5.7143
2012-06-14,6.7568
2012-06-15,-5.0633
2012-06-18,-26.6667
2012-06-19,9.0909
2012-06-21,8.3333
2012-06-22,0.0
2012-06-25,-15.3846
2012-06-27,9.0909
2012-06-28,-66.6667
2012-06-29,200.0
2012-07-02,-25.0
2012-07-06,-22.2222
