ticker,EAST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-15,-65.0
2014-06-10,8.5714
2014-07-10,52.6316
2014-07-14,12.069
2014-07-15,15.3846
2014-07-16,0.0
2014-07-25,0.0
2014-07-28,6.6667
2014-07-31,-6.25
2014-08-05,-13.3333
2014-08-06,-7.6923
2014-08-11,11.6667
2014-08-29,-10.4478
2014-09-17,8.3333
2014-09-29,-15.3846
2014-10-01,-16.3636
2014-10-03,-2.1739
2014-10-06,-11.1111
2014-11-04,5.0
2014-11-07,-4.5238
2014-11-11,-0.2494
2014-11-12,25.0
2014-11-13,0.0
2014-11-17,0.0
2014-11-18,20.0
2014-11-21,-3.3333
2014-12-01,-1.7241
2014-12-03,5.2632
2014-12-05,33.3333
2014-12-08,0.0
2014-12-09,25.0
2014-12-10,1.0
2014-12-11,3.9604
2014-12-12,8.5714
2014-12-15,44.7368
2014-12-18,9.0909
2014-12-19,16.6667
2014-12-23,-2.3810000000000002
2015-01-05,-2.439
2015-01-09,-6.0
2015-01-12,5.3191
2015-01-13,3.5354
2015-01-16,2.439
2015-01-20,-2.3810000000000002
2015-01-22,0.0
2015-02-05,-7.3171
2015-02-06,-2.6316
2015-02-13,0.0
2015-02-17,2.7027
2015-02-19,-6.8421
2015-02-24,3.9548
2015-02-25,8.6957
2015-02-26,-2.5
2015-02-27,2.5641
2015-03-02,-5.5
2015-03-03,5.8201
2015-03-05,-1.0
2015-03-06,-4.0404
2015-03-10,0.0
2015-03-11,7.1053
2015-03-17,0.7371
2015-03-18,-7.3171
2015-03-19,-2.6316
2015-03-20,2.1622
2015-03-23,-4.7619
2015-03-24,-2.7778
2015-03-26,17.1429
2015-03-27,0.0
2015-04-01,-2.439
2015-04-06,-12.5
2015-04-14,0.0
2015-04-15,0.0
2015-04-20,-2.8571
2015-04-29,0.0
2015-05-04,19.4118
2015-05-11,0.0
2015-05-12,-1.4778
2015-05-14,-10.0
2015-05-15,0.0
2015-05-18,-13.8889
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,-0.6452
2015-05-27,9.0909
2015-05-28,0.0
2015-05-29,1.1905000000000001
2015-06-01,0.0
2015-06-02,7.6471
2015-06-03,1.0929
2015-06-04,0.0
2015-06-05,3.2432
2015-06-08,1.5707
2015-06-09,0.5155
2015-06-10,2.0513
2015-06-11,-1.5074999999999998
2015-06-12,1.5306
2015-06-15,0.0
2015-06-16,0.5025
2015-06-17,-0.5
2015-06-18,2.5126
2015-06-19,-3.9215999999999998
