ticker,TREE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-13,18.1694
2008-08-14,16.6474
2008-08-15,-2.775
2008-08-18,-14.9847
2008-08-19,-8.2734
2008-08-20,-3.0065
2008-08-21,0.5391
2008-08-22,7.1046
2008-08-25,2.5031
2008-08-26,-5.7387
2008-08-27,-1.5544
2008-08-28,1.1842
2008-08-29,-1.1703999999999999
2008-09-02,5.9211
2008-09-03,2.1118
2008-09-04,-1.9465
2008-09-05,-3.2258
2008-09-08,2.6923
2008-09-09,-0.7491
2008-09-10,-1.7610000000000001
2008-09-11,-2.0487
2008-09-12,5.2288
2008-09-15,-0.4969
2008-09-16,1.3733
2008-09-17,-4.6798
2008-09-18,-3.1008
2008-09-19,4.9333
2008-09-22,-4.8285
2008-09-23,-4.0053
2008-09-24,-0.9736
2008-09-25,-16.1517
2008-09-26,-7.2027
2008-09-29,-9.0253
2008-09-30,-4.3651
2008-10-01,16.5975
2008-10-02,-24.911
2008-10-03,-4.2654
2008-10-06,-4.2079
2008-10-07,-14.7287
2008-10-08,-38.4848
2008-10-09,11.8227
2008-10-10,-5.2863
2008-10-13,3.2558
2008-10-14,10.8108
2008-10-15,-8.5366
2008-10-16,-2.6667
2008-10-17,7.7626
2008-10-20,8.0508
2008-10-21,-0.3922
2008-10-22,6.2992
2008-10-23,1.8519
2008-10-24,-5.8182
2008-10-27,-6.5637
2008-10-28,-7.0248
2008-10-29,0.0
2008-10-30,14.2222
2008-10-31,5.4475
2008-11-03,5.5351
2008-11-04,-3.8462
2008-11-05,-13.818200000000001
2008-11-06,-9.2827
2008-11-07,4.186
2008-11-10,-1.7856999999999998
2008-11-11,-4.5455
2008-11-12,7.1429
2008-11-13,10.2222
2008-11-14,-11.6935
2008-11-17,-3.1963
2008-11-18,11.7925
2008-11-19,-5.0633
2008-11-20,-5.7778
2008-11-21,5.6604
2008-11-24,-9.8214
2008-11-25,-4.9505
2008-11-26,-3.125
2008-11-28,-1.6129
2008-12-01,-14.207699999999999
2008-12-02,25.4777
2008-12-03,-7.6142
2008-12-04,-8.7912
2008-12-05,-1.2048
2008-12-08,10.3659
2008-12-09,7.7348
2008-12-10,-3.0769
2008-12-11,-4.2328
2008-12-12,-8.8398
2008-12-15,-6.6667
2008-12-16,37.6623
2008-12-17,0.9434
2008-12-18,13.0841
2008-12-19,2.0661
2008-12-22,-1.2146
2008-12-23,-7.377
2008-12-24,1.7699
2008-12-26,-6.5217
2008-12-29,-5.1163
2008-12-30,15.1961
