ticker,MCCX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,100.0
2013-04-11,30.0
2013-04-12,19.2308
2013-04-15,3.2258
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,40.625
2013-04-19,66.6667
2013-04-23,-13.3333
2013-04-24,0.0
2013-04-25,9.2308
2013-04-26,5.6338
2013-05-01,20.0
2013-05-02,33.3333
2013-05-03,8.3333
2013-05-06,-3.8462
2013-05-09,-20.0
2013-05-10,25.0
2013-05-14,-36.0
2013-05-16,0.0
2013-05-21,0.0
2013-05-28,0.0
2013-05-31,-6.25
2013-06-03,0.0
2013-06-04,-13.3333
2013-06-05,-6.1538
2013-07-05,-6.5574
2013-08-28,-7.0175
2013-08-29,-15.0943
2013-08-30,-11.1111
2013-09-03,0.0
2013-09-05,212.5
2013-09-09,-0.8
2013-10-10,-62.0968
2013-10-15,-2.1277
2013-10-17,-23.913
2013-10-24,14.2857
2013-10-25,0.0
2013-10-28,12.5
2013-10-29,11.1111
2013-11-19,0.0
2013-12-05,-20.0
2013-12-09,25.0
2014-01-08,0.0
2014-03-31,-14.0
2014-04-14,0.0
2014-04-15,-18.6047
2014-04-28,0.0
2014-04-30,-14.2857
2014-05-09,-16.6667
2014-05-15,-20.0
2014-06-04,25.0
2014-06-05,0.0
2014-06-23,-8.0
2014-06-25,-17.3913
2014-08-08,-21.0526
2014-08-21,6.6667
2014-08-28,-28.125
2014-08-29,160.8696
2014-09-02,0.0
2014-09-17,-50.0
2014-09-18,-11.125
2014-09-30,12.5176
2014-10-23,100.0
2014-11-05,-16.6667
2014-11-13,20.0
2014-11-17,0.0
2014-11-21,33.3333
2014-12-04,-32.5
2014-12-11,0.0
2014-12-16,29.6296
2014-12-23,-22.8571
2014-12-31,-3.7037
2015-01-09,11.538499999999999
2015-02-19,24.1379
2015-03-10,11.1111
2015-03-13,0.0
2015-03-19,0.0
2015-03-23,27.5
2015-03-24,11.7647
2015-03-25,31.5789
2015-03-26,33.3333
2015-03-27,-10.0
2015-03-30,-5.5556
2015-03-31,0.0
2015-04-01,-9.4118
2015-04-02,3.8961
2015-04-06,17.5
2015-04-07,6.383
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,5.0
2015-04-14,2.8571
2015-04-15,1.8519
2015-04-16,-0.9091
2015-04-17,-8.2569
2015-04-20,0.0
2015-04-21,-0.0125
2015-04-22,0.0125
2015-04-23,-5.0
2015-04-24,-1.0526
2015-04-27,-4.2553
2015-04-28,-16.6667
