ticker,ENGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-06,-2.0
2020-03-09,-14.2857
2020-03-10,19.0476
2020-03-11,15.0
2020-03-12,-30.4348
2020-03-13,0.0
2020-03-16,-10.0
2020-03-17,-10.5556
2020-03-19,-4.9689
2020-03-23,-21.5686
2020-03-25,32.5
2020-03-26,-5.5975
2020-03-27,-0.0666
2020-03-30,6.6667
2020-03-31,-20.3125
2020-04-01,5.8824
2020-04-02,3.7778
2020-04-03,7.7802
2020-04-06,25.1656
2020-04-07,-16.6667
2020-04-08,17.4603
2020-04-09,5.4054
2020-04-14,7.6923
2020-04-15,11.9048
2020-04-17,12.766
2020-04-20,-7.5472
2020-04-21,3.2653
2020-04-22,5.7312
2020-04-23,4.6729
2020-04-24,2.3214
2020-04-27,7.5044
2020-04-28,3.8961
2020-04-29,0.625
2020-04-30,0.9317
2020-05-01,-0.0615
2020-05-04,1.601
2020-05-05,1.3252
2020-05-06,1.9819
2020-05-07,0.9677
2020-05-08,1.946
2020-05-11,-0.2849
2020-05-12,2.8931
2020-05-13,2.8807
2020-05-14,-0.2699
2020-05-15,-0.2706
2020-05-18,1.0855
2020-05-19,0.6711
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,1.4667
2020-05-26,1.8397000000000001
2020-05-27,-20.0
2020-05-28,24.3548
2020-05-29,-0.1297
2020-06-01,-3.2468
2020-06-02,3.3557
2020-06-03,-3.8961
2020-06-04,-0.2703
2020-06-05,0.542
2020-06-08,-2.965
2020-06-09,2.7778
2020-06-10,-5.4054
2020-06-11,-2.8571
2020-06-12,2.9412000000000003
2020-06-15,-7.1429
2020-06-16,7.6923
2020-06-17,0.0
2020-06-18,-1.4285999999999999
2020-06-19,-2.3188
2020-06-22,2.5223
2020-06-23,0.5789
2020-06-24,-6.4748
2020-06-25,1.5385
2020-06-26,0.0
2020-06-29,0.303
2020-07-01,-2.568
2020-07-02,0.7752
2020-07-06,-1.6923
2020-07-07,0.1252
2020-07-08,0.0313
2020-07-09,2.3438
2020-07-10,0.7634
2020-07-13,0.0
2020-07-14,5.7576
2020-07-15,0.0
2020-07-16,0.1433
2020-07-17,0.1431
2020-07-20,1.0
2020-07-21,-20.7921
2020-07-22,-16.0714
2020-07-23,-4.2553
2020-07-24,2.4444
2020-07-27,1.9523000000000001
2020-07-28,-6.383
2020-07-29,0.0
2020-07-30,-11.3636
2020-07-31,7.6923
