ticker,ADXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-29,11.1111
2005-08-01,-26.0
2005-08-02,5.4054
2005-08-03,-10.2564
2005-08-04,-20.0
2005-08-08,-4.4643
2005-08-09,-6.5421
2005-08-10,-4.0
2005-08-15,-29.1667
2005-08-16,-5.8824
2005-08-17,25.0
2005-08-18,0.0
2005-08-22,0.0
2005-08-23,10.0
2005-08-24,9.0909
2005-08-25,8.3333
2005-08-26,7.6923
2005-08-29,-10.7143
2005-08-30,0.0
2005-08-31,0.0
2005-09-01,0.0
2005-09-02,-12.0
2005-09-06,3.4091
2005-09-07,1.0989
2005-09-08,-8.6957
2005-09-09,0.0
2005-09-12,9.5238
2005-09-13,0.0
2005-09-14,-4.3478
2005-09-15,9.0909
2005-09-16,8.75
2005-09-19,-4.2146
2005-09-20,4.4
2005-09-21,3.4483
2005-09-22,-3.7037
2005-09-23,-15.3846
2005-09-26,18.1818
2005-09-27,3.8462
2005-09-28,7.4074
2005-09-29,-6.8966
2005-09-30,-1.8519
2005-10-03,-1.8868
2005-10-04,-3.8462
2005-10-05,4.0
2005-10-06,-3.8462
2005-10-10,8.0
2005-10-11,-3.7037
2005-10-12,3.8462
2005-10-13,0.0
2005-10-14,0.0
2005-10-17,-3.7037
2005-10-18,-3.8462
2005-10-19,0.0
2005-10-20,8.0
2005-10-21,-11.1111
2005-10-24,4.1667
2005-10-26,4.0
2005-10-27,-7.6923
2005-10-28,0.0
2005-10-31,4.1667
2005-11-01,-4.0
2005-11-02,4.1667
2005-11-03,0.0
2005-11-04,0.0
2005-11-07,2.0
2005-11-08,-1.9607999999999999
2005-11-09,-4.0
2005-11-10,4.1667
2005-11-11,-4.0
2005-11-14,0.0
2005-11-15,0.0
2005-11-16,0.0
2005-11-17,4.1667
2005-11-18,0.0
2005-11-21,0.0
2005-11-22,0.0
2005-11-23,0.0
2005-11-25,-4.0
2005-11-28,0.0
2005-11-29,-28.75
2005-11-30,22.807
2005-12-01,4.7619
2005-12-02,-2.2727
2005-12-05,2.3256
2005-12-06,-4.5455
2005-12-07,0.0
2005-12-08,9.5238
2005-12-09,-8.6957
2005-12-12,4.7619
2005-12-13,-4.5455
2005-12-14,0.0
2005-12-15,4.7619
2005-12-16,-2.2727
2005-12-19,6.9767
2005-12-20,0.0
2005-12-21,0.0
2005-12-22,-4.3478
2005-12-23,0.0
2005-12-27,-4.5455
2005-12-28,4.7619
2005-12-29,-18.1818
2005-12-30,16.1111
2006-01-03,0.4785
