ticker,SPWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-17,41.3889
2005-11-18,6.4833
2005-11-21,-1.845
2005-11-22,-5.6391
2005-11-23,0.1594
2005-11-25,3.4208
2005-11-28,-3.2308
2005-11-29,-1.5103
2005-11-30,0.8878
2005-12-01,1.76
2005-12-02,0.9434
2005-12-05,-2.4922
2005-12-06,-2.476
2005-12-07,2.3750999999999998
2005-12-08,4.6
2005-12-09,4.8948
2005-12-12,0.6562
2005-12-13,0.7968
2005-12-14,0.9702
2005-12-15,1.0676
2005-12-16,8.3803
2005-12-19,-2.4042
2005-12-20,-3.3955
2005-12-21,-0.7236
2005-12-22,-0.1388
2005-12-23,-2.6069
2005-12-27,7.0307
2005-12-28,8.136
2005-12-29,7.0614
2005-12-30,-2.1025
2006-01-03,-0.3825
2006-01-04,-2.0969
2006-01-05,-1.8367
2006-01-06,0.0887
2006-01-09,3.4387
2006-01-10,3.4728
2006-01-11,5.4217
2006-01-12,-5.1701
2006-01-13,-2.4964
2006-01-17,0.2354
2006-01-18,3.4938000000000002
2006-01-19,-2.8651999999999997
2006-01-20,-1.139
2006-01-23,-3.8109
2006-01-24,-2.3342
2006-01-25,-5.2516
2006-01-26,17.6236
2006-01-27,1.3262
2006-01-30,9.6909
2006-01-31,1.5461
2006-02-01,-3.7725999999999997
2006-02-02,-1.299
2006-02-03,-4.1327
2006-02-06,2.9654
2006-02-07,-5.2
2006-02-08,4.2757
2006-02-09,2.0502
2006-02-10,-1.6653
2006-02-13,-0.2957
2006-02-14,-3.4779999999999998
2006-02-15,-1.9274
2006-02-16,4.0444
2006-02-17,4.599
2006-02-21,-1.9104999999999999
2006-02-22,0.1334
2006-02-23,2.3181
2006-02-24,3.3073
2006-02-27,9.1505
2006-02-28,1.3857
2006-03-01,0.3872
2006-03-02,-1.5657
2006-03-03,-0.5809
2006-03-06,-0.8765
2006-03-07,-5.3801
2006-03-08,-2.2991
2006-03-09,-1.3158
2006-03-10,-2.359
2006-03-13,-0.3414
2006-03-14,7.1937
2006-03-15,2.6057
2006-03-16,-1.4854
2006-03-17,-0.8268
2006-03-20,-2.4767
2006-03-21,0.2263
2006-03-22,-0.9032
2006-03-23,-0.3797
2006-03-24,0.2287
2006-03-27,1.2677
2006-03-28,-3.2799
2006-03-29,1.8378999999999999
2006-03-30,-1.881
2006-03-31,-1.1399
2006-04-03,-1.4151
2006-04-04,-3.8278
2006-04-05,1.6031
2006-04-06,1.3289
2006-04-07,-4.2378
