ticker,RAYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-13,33.3333
2012-10-16,25.0
2012-11-30,20.0
2012-12-05,-16.6667
2012-12-06,0.0
2012-12-07,-4.0
2012-12-11,8.3333
2012-12-12,3.8462
2012-12-13,0.0
2012-12-14,-3.7037
2012-12-17,1.9231
2012-12-19,1.8868
2012-12-20,-3.7037
2012-12-21,1.9231
2012-12-24,1.8868
2012-12-26,-3.7037
2013-01-02,1.9231
2013-01-03,-5.6604
2013-01-04,16.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,3.4483
2013-01-11,3.3333
2013-01-15,6.4516
2013-01-25,3.0303
2013-01-28,0.0
2013-01-29,-5.8824
2013-01-30,6.25
2013-01-31,-2.9412000000000003
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-08,0.0
2013-02-11,-1.5152
2013-02-12,0.0
2013-02-13,1.5385
2013-02-15,3.0303
2013-02-19,-2.9412000000000003
2013-02-20,3.0303
2013-02-22,-2.9412000000000003
2013-02-26,-6.0606
2013-02-27,9.6774
2013-02-28,-2.9412000000000003
2013-03-01,0.0
2013-03-15,6.0606
2013-03-20,0.0
2013-05-03,-51.4286
2013-05-06,100.0
2014-05-02,47.0588
2014-06-20,0.0
2014-11-13,-12.0
2015-04-06,-43.1818
2015-04-10,20.0
2015-05-19,0.0
2015-06-03,16.6667
2015-07-10,-28.5714
2015-10-15,0.0
2015-10-20,0.0
2015-10-23,-32.0
2015-10-28,-41.1765
2016-01-14,50.0
2016-02-26,-26.6667
2016-04-04,-5.2273
2016-04-20,5.5156
2016-08-23,-52.2727
2016-10-28,90.4762
2016-10-31,150.0
2016-11-01,-51.8
2016-11-02,-0.4149
2016-11-04,66.6667
2016-11-09,-28.4375
2016-11-10,-16.1572
2016-11-11,16.6667
2016-11-14,0.7143
2016-11-21,-50.3546
2016-11-22,59.1071
2016-12-09,79.5735
2016-12-12,-25.0
2016-12-22,66.6667
2016-12-29,-20.0
2016-12-30,-50.0
2017-01-03,0.0
2017-01-31,-29.125
2017-04-21,0.3527
2017-05-05,-8.6116
2017-05-08,-21.5385
2017-05-09,-41.1765
2017-05-15,-33.3333
2017-05-22,-50.0
2017-06-07,100.0
2017-07-05,200.0
2017-07-12,16.6667
2017-07-13,42.8571
2017-07-14,50.0
2017-07-17,66.6667
2017-07-19,10.0
2017-08-07,-45.4545
2017-08-22,20.0
2017-08-30,-23.0556
2017-08-31,-27.7978
2017-09-05,50.0
