ticker,CFMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-01,28.3333
2015-07-02,22.0779
2015-07-06,2.383
2015-07-07,-7.3982
2015-07-08,-1.167
2015-07-09,2.2707
2015-07-10,-1.0657
2015-07-13,3.0072
2015-07-14,-0.8715
2015-07-15,-0.6154
2015-07-16,-7.1207
2015-07-17,0.2381
2015-07-20,1.7102
2015-07-21,-1.3545
2015-07-22,5.5870999999999995
2015-07-23,0.9417
2015-07-24,-1.7326000000000001
2015-07-27,4.566
2015-07-28,-3.1993
2015-07-29,-0.134
2015-07-30,-0.1789
2015-07-31,3.4050000000000002
2015-08-03,10.4419
2015-08-04,-0.6277
2015-08-05,1.7765
2015-08-06,-0.9697
2015-08-07,-2.4677
2015-08-10,-1.6064
2015-08-11,-6.0408
2015-08-12,1.2163
2015-08-13,-4.5494
2015-08-14,-0.9442
2015-08-17,0.9079
2015-08-18,3.4188
2015-08-19,-1.9139
2015-08-20,-3.0155
2015-08-21,-2.5149
2015-08-24,-7.9268
2015-08-25,1.8849
2015-08-26,-3.25
2015-08-27,-0.5685
2015-08-28,2.8067
2015-08-31,-19.1102
2015-09-01,-2.75
2015-09-02,-8.8689
2015-09-03,0.3526
2015-09-04,-0.3514
2015-09-08,2.4683
2015-09-09,0.0688
2015-09-10,1.238
2015-09-11,-1.087
2015-09-14,-2.9533
2015-09-15,-0.8493
2015-09-16,2.07
2015-09-17,10.419599999999999
2015-09-18,6.8398
2015-09-21,-0.1186
2015-09-22,-1.0089
2015-09-23,10.3717
2015-09-24,0.4889
2015-09-25,-7.8378
2015-09-28,1.2903
2015-09-29,7.8749
2015-09-30,-3.0596
2015-10-01,-4.6512
2015-10-02,3.7747
2015-10-05,5.7639
2015-10-06,-3.3862
2015-10-07,8.9266
2015-10-08,-0.4525
2015-10-09,4.1414
2015-10-12,-2.8128
2015-10-13,1.0977999999999999
2015-10-14,-3.1096
2015-10-15,3.566
2015-10-16,0.0984
2015-10-19,5.4054
2015-10-20,-1.0256
2015-10-21,-10.1272
2015-10-22,-3.8784
2015-10-23,3.3806
2015-10-26,0.0527
2015-10-27,-0.369
2015-10-28,5.3968
2015-10-29,0.3514
2015-10-30,-2.1011
2015-11-02,5.4165
2015-11-03,6.5439
2015-11-04,4.5496
2015-11-05,0.8268
2015-11-06,-2.6327
2015-11-09,-0.7092
2015-11-10,-4.4196
2015-11-11,-4.1102
2015-11-12,-4.6274
2015-11-13,-0.8682
2015-11-16,-0.2576
2015-11-17,3.3058
