ticker,JP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-17,-9.5668
2015-07-20,-2.6946
2015-07-21,2.359
2015-07-22,-3.2064
2015-07-23,1.0352
2015-07-24,2.1516
2015-07-27,-2.7081
2015-07-28,2.8853
2015-07-29,0.362
2015-07-30,-1.3578000000000001
2015-07-31,3.5425
2015-08-03,-1.2549000000000001
2015-08-04,-0.907
2015-08-05,-0.0999
2015-08-06,-1.0
2015-08-07,0.202
2015-08-10,2.2177
2015-08-11,-2.2682
2015-08-12,0.1009
2015-08-13,2.2177
2015-08-14,-0.7902
2015-08-17,-1.291
2015-08-18,-0.1007
2015-08-19,0.9073
2015-08-20,-0.0999
2015-08-21,-5.0
2015-08-24,-18.7368
2015-08-25,12.6943
2015-08-26,-3.6782
2015-08-27,22.673000000000002
2015-08-28,-3.5991999999999997
2015-08-31,-1.8163
2015-09-01,-2.3638
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,-2.2105
2015-09-08,7.6426
2015-09-09,-6.6
2015-09-10,-8.9936
2015-09-11,2.4706
2015-09-14,-4.3614
2015-09-15,2.8796
2015-09-16,3.5006
2015-09-17,-2.9312
2015-09-18,-4.7619
2015-09-21,1.8293
2015-09-22,1.0778
2015-09-24,3.0806
2015-09-25,-1.2644
2015-09-28,-3.4924
2015-09-29,-0.7238
2015-09-30,9.356
2015-10-01,2.8889
2015-10-02,-3.5637
2015-10-05,0.7839
2015-10-06,4.8889
2015-10-07,1.058
2015-10-08,2.7267
2015-10-09,-3.5714
2015-10-12,-3.4920999999999998
2015-10-13,-1.4254
2015-10-14,1.5573000000000001
2015-10-15,2.8478
2015-10-16,0.2769
2015-10-19,-2.294
2015-10-20,-0.7609
2015-10-21,-0.3272
2015-10-22,1.0975
2015-10-23,-1.9565000000000001
2015-10-26,0.0
2015-10-27,-0.1109
2015-10-28,-1.6648
2015-10-29,0.9029
2015-10-30,-1.2304
2015-11-02,-2.0385
2015-11-03,-1.7327
2015-11-04,4.1161
2015-11-05,-0.565
2015-11-06,2.7273
2015-11-09,0.2212
2015-11-10,2.8698
2015-11-11,-0.6438
2015-11-12,1.0799
2015-11-13,-5.5556
2015-11-16,5.2036
2015-11-17,3.3333
2015-11-18,1.5609
2015-11-19,-1.6393
2015-11-20,-1.3542
2015-11-23,-1.3728
2015-11-24,-1.3919000000000001
2015-11-25,2.3887
2015-11-27,2.6511
2015-11-30,1.2397
2015-12-01,-2.2449
2015-12-02,2.8184
2015-12-03,-4.5685
